Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
ingestao nutricional,7,22,10,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2ids_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j
biomarcador laboratorial,9,20,18,nhanes_laboratory.alb_cr_j; nhanes_laboratory.biopro_j; nhanes_laboratory.cot_j; nhanes_laboratory.crco_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.fertin_j; nhanes_laboratory.fetib_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.pfas_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.um_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j; nhanes_laboratory.vitaec_j
hepatite b sorologia,17,20,6,nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_questionnaire.heq_j
circunferencias corporais,12,20,8,nhanes_examination.auxtym_j; nhanes_examination.auxwbr_j; nhanes_examination.bmx_j; nhanes_examination.bpxo_j; nhanes_examination.dxxag_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
consumo de cigarros,14,20,7,nhanes_laboratory.ucot_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.smq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j
consumo alimentar,4,19,15,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.kiq_u_j
valores de urina,11,18,8,nhanes_laboratory.alb_cr_j; nhanes_laboratory.opd_j; nhanes_laboratory.pernt_j; nhanes_laboratory.ucflow_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.uni_j
questionario de dieta,10,17,11,nhanes_admin.load_catalog; nhanes_dietary.dr1iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.fsq_j
dados de exames,6,17,17,nhanes_examination.aux_j; nhanes_examination.auxar_j; nhanes_examination.auxtym_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.fetib_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.vid_j
analise de dados laboratoriais,3,16,14,nhanes_laboratory.folate_j; nhanes_laboratory.fr_j; nhanes_laboratory.ghb_j; nhanes_laboratory.hdl_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.tfr_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uni_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.vid_j
vitaminas sericas,11,16,10,nhanes_laboratory.biopro_j; nhanes_laboratory.cot_j; nhanes_laboratory.fertin_j; nhanes_laboratory.fetib_j; nhanes_laboratory.pfas_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.tfr_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j; nhanes_laboratory.vitaec_j
pressao arterial,8,16,4,nhanes_examination.aux_j; nhanes_examination.bpx_j; nhanes_examination.bpxo_j; nhanes_questionnaire.bpq_j
biomonitoramento de contaminantes,11,15,12,nhanes_laboratory.ephpp_j; nhanes_laboratory.ethox_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pfas_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucm_j; nhanes_laboratory.um_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vocwb_j
pesquisa laboratorial,5,15,14,nhanes_laboratory.glu_j; nhanes_laboratory.hdl_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_laboratory.hiv_j; nhanes_laboratory.opd_j; nhanes_laboratory.pfas_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uhg_j; nhanes_laboratory.um_j; nhanes_laboratory.uni_j; nhanes_laboratory.utas_j
analise de glicose,12,14,13,nhanes_laboratory.cot_j; nhanes_laboratory.folate_j; nhanes_laboratory.glu_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.ins_j; nhanes_laboratory.opd_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.trigly_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j; nhanes_laboratory.vitaec_j; nhanes_laboratory.vocwb_j
avaliacao de composicao corporal,6,14,9,nhanes_examination.auxwbr_j; nhanes_examination.bmx_j; nhanes_examination.dxx_j; nhanes_examination.dxxag_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j; nhanes_laboratory.ins_j; nhanes_laboratory.sstst_j; nhanes_questionnaire.bpq_j
frequencia de atividade fisica,6,14,5,nhanes_examination.bpx_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.paq_j; nhanes_questionnaire.paqy_j
avaliacao de sintomas depressivos,6,13,11,nhanes_laboratory.fastqx_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.ohq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.smqshs_j
tempo de atividade fisica,8,13,5,nhanes_questionnaire.deq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.paq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.slq_j
consumo de nutrientes,5,12,10,nhanes_dietary.dr1iff_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.inq_j
analise de urina,4,12,10,nhanes_laboratory.alb_cr_j; nhanes_laboratory.crco_j; nhanes_laboratory.pernt_j; nhanes_laboratory.uas_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j; nhanes_laboratory.uni_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.utas_j
resposta auditiva,7,12,6,nhanes_examination.aux_j; nhanes_examination.auxar_j; nhanes_examination.auxtym_j; nhanes_examination.auxwbr_j; nhanes_examination.lux_j; nhanes_questionnaire.auq_j
valores de marcadores sanguineos,9,12,12,nhanes_laboratory.biopro_j; nhanes_laboratory.cot_j; nhanes_laboratory.crco_j; nhanes_laboratory.fr_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.pah_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.utas_j; nhanes_laboratory.vocwb_j
metabolitos urinarios,12,12,10,nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pernt_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j; nhanes_laboratory.utas_j
colesterol total serico,12,12,3,nhanes_laboratory.hdl_j; nhanes_laboratory.tchol_j; nhanes_laboratory.trigly_j
nivel de glicose,8,12,7,nhanes_laboratory.ghb_j; nhanes_laboratory.glu_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.vitaec_j; nhanes_questionnaire.diq_j
historico familiar de doencas,2,12,12,nhanes_questionnaire.auq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.whqmec_j
saude autorreferida,7,11,7,nhanes_examination.aux_j; nhanes_laboratory.uvoc_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.whqmec_j
niveis sericos de cotinina,5,9,7,nhanes_laboratory.alb_cr_j; nhanes_laboratory.cot_j; nhanes_laboratory.crco_j; nhanes_laboratory.fertin_j; nhanes_laboratory.ghb_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sspfas_j
nivel de ferro,8,8,4,nhanes_laboratory.fertin_j; nhanes_laboratory.fetib_j; nhanes_laboratory.folate_j; nhanes_laboratory.tfr_j
avaliacao de habitos,6,8,8,nhanes_questionnaire.alq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.smqrtu_j
condicao dentaria,8,8,3,nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_questionnaire.ohq_j
exames de urina,5,8,7,nhanes_examination.aux_j; nhanes_laboratory.alb_cr_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j
classificacao condicoes cronicas,7,8,6,nhanes_demographics.demo_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.smqshs_j
hiv anticorpos,8,8,4,nhanes_laboratory.cmv_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hiv_j
densidade ossea,5,8,3,nhanes_examination.dxx_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j
diabetes diagnostico,5,8,3,nhanes_laboratory.ghb_j; nhanes_laboratory.ihgem_j; nhanes_questionnaire.diq_j
exame dentario,6,8,4,nhanes_examination.auxwbr_j; nhanes_examination.lux_j; nhanes_examination.ohxden_j; nhanes_examination.ohxref_j
prevalencia de condicoes de sono,6,8,7,nhanes_questionnaire.hiq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.slq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j
uso de medicamentos,2,8,5,nhanes_examination.lux_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.rxq_rx_j; nhanes_questionnaire.rxqasa_j
historico gestacional,7,7,6,nhanes_admin.load_catalog; nhanes_demographics.demo_j; nhanes_laboratory.sspfas_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.whq_j
pesos dieteticos,5,7,6,nhanes_admin.load_catalog; nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.ds1tot_j; nhanes_questionnaire.paq_j
padroes de consumo,5,7,6,nhanes_dietary.ds2ids_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.smq_j
escore de sintomas depressivos,5,7,3,nhanes_laboratory.fastqx_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.dpq_j
analise de laboratorio,1,6,6,nhanes_laboratory.ephpp_j; nhanes_laboratory.fr_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vocwb_j
dados biometricos,2,6,6,nhanes_examination.bpx_j; nhanes_examination.dxxfem_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j
tempo de uso de medicamentos,5,6,4,nhanes_laboratory.fastqx_j; nhanes_laboratory.ucflow_j; nhanes_questionnaire.rxq_rx_j; nhanes_questionnaire.rxqasa_j
exames laboratoriais,2,6,6,nhanes_examination.dxxag_j; nhanes_laboratory.biopro_j; nhanes_laboratory.crco_j; nhanes_laboratory.fertin_j; nhanes_laboratory.hepe_j; nhanes_laboratory.uvoc_j
tecnicas cirurgicas,6,6,3,nhanes_examination.bpxo_j; nhanes_examination.lux_j; nhanes_laboratory.sstst_j
medidas de saude,4,6,5,nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.vid_j
analise de hemograma,5,5,4,nhanes_laboratory.cbc_j; nhanes_laboratory.fertin_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ucpreg_j
avaliacao indicadores nutricionais,5,5,5,nhanes_dietary.ds2tot_j; nhanes_laboratory.vid_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.kiq_u_j
pesquisa nhanes,3,5,5,nhanes_admin.load_catalog; nhanes_dietary.ds2ids_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uhg_j
comportamento social,3,5,5,nhanes_dietary.dsqids_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.rxqasa_j
niveis de lipidios,5,5,4,nhanes_laboratory.hdl_j; nhanes_laboratory.tchol_j; nhanes_laboratory.trigly_j; nhanes_laboratory.vitaec_j
niveis de etanol,5,5,4,nhanes_laboratory.ethox_j; nhanes_laboratory.pernt_j; nhanes_laboratory.pfas_j; nhanes_laboratory.uphopm_j
idade de inicio,5,5,3,nhanes_demographics.demo_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.pfq_j
testes laboratoriais,2,5,5,nhanes_laboratory.cmv_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hepc_j
avaliacao de audicao,4,4,3,nhanes_examination.lux_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.vtq_j
consumo de alcool,2,4,2,nhanes_laboratory.fastqx_j; nhanes_questionnaire.alq_j
tempo de coleta urinaria,4,4,3,nhanes_laboratory.crco_j; nhanes_laboratory.ucflow_j; nhanes_questionnaire.kiq_u_j
hemograma completo,4,4,2,nhanes_laboratory.cbc_j; nhanes_laboratory.ssglyp_j
frequencia alimentar,4,4,4,nhanes_dietary.dsqids_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dbq_j
frequencia de respostas,1,4,4,nhanes_questionnaire.auq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.pfq_j
percepcao de peso,4,4,3,nhanes_examination.dxxag_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
hiv soroprevalencia,4,4,2,nhanes_laboratory.cmv_j; nhanes_laboratory.hiv_j
metabolitos de nicotina,4,4,4,nhanes_laboratory.opd_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.uvoc_j
padroes de ingestao nutricional,3,4,4,nhanes_questionnaire.alq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.inq_j
aleitamento materno,3,3,3,nhanes_laboratory.pernt_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.dbq_j
analise de marcadores laboratoriais,3,3,3,nhanes_laboratory.pbcd_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j
analise de cotinina,2,3,3,nhanes_laboratory.cot_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ucot_j
pesquisa de exposicao a poluentes,3,3,3,nhanes_laboratory.ephpp_j; nhanes_laboratory.ethox_j; nhanes_laboratory.pah_j
concentracao de analitos,2,3,3,nhanes_laboratory.trigly_j; nhanes_laboratory.uas_j; nhanes_laboratory.uhg_j
padroes alimentares,3,3,3,nhanes_questionnaire.dbq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.kiq_u_j
imunoglobulinas igg e igm,3,3,2,nhanes_laboratory.cmv_j; nhanes_laboratory.hepe_j
micronutrientes laboratoriais,3,3,3,nhanes_laboratory.folate_j; nhanes_laboratory.phthte_j; nhanes_laboratory.vitaec_j
vacinacao,3,3,1,nhanes_questionnaire.imq_j
niveis de substancias bioquimicas,3,3,2,nhanes_laboratory.biopro_j; nhanes_laboratory.ghb_j
concentracao de metais na urina,3,3,3,nhanes_laboratory.pbcd_j; nhanes_laboratory.phthte_j; nhanes_laboratory.uvoc_j
concentracao de substancias,2,3,3,nhanes_laboratory.fr_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.um_j
niveis de vitamina c,3,3,2,nhanes_laboratory.folate_j; nhanes_laboratory.vic_j
pesquisa de diabetes,2,3,2,nhanes_laboratory.glu_j; nhanes_laboratory.ins_j
exames auditivos,2,3,2,nhanes_examination.aux_j; nhanes_examination.auxar_j
exposicao a metais pesados,3,3,3,nhanes_laboratory.pbcd_j; nhanes_laboratory.uas_j; nhanes_laboratory.um_j
imunoglobulina g,3,3,1,nhanes_laboratory.cmv_j
inquerito laboratorial nhanes,2,3,3,nhanes_laboratory.ethox_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.uio_j
limiares de deteccao,2,3,3,nhanes_examination.auxar_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j
valores de ureia,2,2,2,nhanes_laboratory.opd_j; nhanes_laboratory.pah_j
pesquisa de valores de referencia,2,2,2,nhanes_laboratory.ssagp_j; nhanes_laboratory.ssuvcm_j
inflamacao,2,2,2,nhanes_examination.ohxden_j; nhanes_laboratory.hscrp_j
chumbo sanguineo,2,2,2,nhanes_laboratory.pbcd_j; nhanes_laboratory.uni_j
