Ranking,Macrotema,Frequência Total,Qtd Subtemas,Exemplos Subtemas,Neurônio
15,hepatite b sorologia,19,16,"anticorpos hepatite c, exames de hepatite, exposicao a hepatite, genotipo hepatite c, hepatite, hepatite a sorologia, hepatite b, hepatite b e d coinfeccao, hepatite b sorologia, hepatite b sorologica...",4_11
16,tempo de atividade fisica,19,10,"atividade fisica, duracao de caminhada, frequencia de atividade fisica, frequencia de exercicio, funcionamento fisico, intensidade de atividade, intensidade de atividade fisica, nivel de atividade, tempo de atividade fisica, tempo de exercicio",0_5
17,consumo de cigarros,19,14,"avaliacao de tabagismo, biomarcadores tabagismo, cessacao do tabagismo, composicao do cigarro, consumo de cigarros, consumo de tabaco, marcas de cigarros, niveis de nicotina, numero de cigarros, tabagismo...",2_0
18,pressao arterial,19,10,"frequencia cardiaca, hipertensao, medidas de pressao arterial, medidas repetidas de pressao arterial, pressao arterial, pressao arterial diastolica, pressao arterial sistolica, pressao arterial sistolica e diastolica, pressao de pulso, pulso",0_7
19,exames laboratoriais,18,5,"dados laboratoriais de saude, exame laboratorial, exames biomedicos, exames laboratoriais, testes laboratoriais",7_7
20,metabolitos urinarios,17,15,"analise de metabolitos urinarios, biomarcadores urinarios, ftalatos urinarios, hidrocarbonetos policiclicos aromaticos urinarios, iodo urinario, mercury urinario, metabolitos urinarios, metais urinarios, organofosfatos urinarios, perfil urinario de nitrato...",11_11
21,colesterol total serico,17,17,"colesterol hdl, colesterol ldl, colesterol total, colesterol total (si), colesterol total serico, concentracao de colesterol, hdl colesterol, indice de colesterol serico, lipidios sanguineos, niveis de hdl...",0_11
22,exame auditivo,16,10,"audiometria, avaliacao de audicao, avaliacao de campo visual, exame auditivo, exames auditivos, limiar auditivo, medidas de acuidade visual, perda auditiva, resposta auditiva, uso de aparelho auditivo",7_4
23,dados de exames,16,6,"dados de exame, dados de exames, exame de mulheres, exames de sangue, resultados de exames, status de exame",7_6
24,consumo de alimentos,15,5,"acesso a alimentos, consumo alimentar, consumo de alimentos, padroes de ingestao, padroes de ingestao nutricional",7_0
25,avaliacao de saude,15,3,"autoavaliacao de saude, avaliacao de saude, avaliacao de saude mental",5_5
26,vitamina c serica,15,10,"carotenoides sericos, ferritina serica, ferro serico, proteina c reativa, proteina c-reativa, transferrina serica, vitamina c serica, vitamina d serica, vitamina e serica, vitaminas sericas",8_11
27,avaliacao de sintomas depressivos,14,7,"avaliacao de bem-estar, avaliacao de depressao, avaliacao de sintomas, avaliacao de sintomas depressivos, avaliacao de sintomas psicologicos, avaliacao de sintomas respiratorios, avaliacao sintomas depressivos",5_4
28,composicao de nutrientes,14,5,"composicao de macronutrientes, composicao de nutrientes, composicao de refeicoes, pesos dieteticos, suplementos dieteticos",9_0
29,duracao do sono,14,10,"duracao de prescricao, duracao do sono, duracao do tratamento, horarios de sono, padroes de sono, qualidade do sono, tempo de jejum, tempo de trabalho, tempo de uso de medicamentos, trabalho noturno",0_3
30,analise de glicemia,13,12,"analise de fertilidade, analise de glicemia, analise de glicose, analise de gravidez, analise de hemoglobina, analise de hemograma, analise de hemograma completo, analise de hormonios, analise de insulina, analise de lipoproteinas...",9_7
31,nivel de ferro,13,12,"capacidade de ligacao do ferro, chumbo sanguineo, concentracao de iodo, concentracao de mercurio no sangue, concentracao de metais, concentracao de metais na urina, concentracao de selenio, distribuicao de iodo na populacao, indice de saturacao de transferrina, metabolismo do ferro...",11_4
32,mobilidade e cuidados,13,3,"classificacao de ajuda para locomocao, mobilidade e cuidados, qualidade de vida",1_4
33,densidade ossea,13,9,"composicao corporal por dxa, conteudo mineral osseo, densidade mineral ossea, densidade ossea, densitometria ossea, exame dxa, exames de densidade ossea, medidas de luxacao, tamanho de protese",11_2
34,frequencia de consumo,12,8,"comportamento de consumo, frequencia de consumo, frequencia de uso, frequencia de valores, localizacao de consumo, padroes de consumo, preferencias de consumo, quantidade de bebidas",4_0
35,perfil bioquimico serico,12,8,"cotinina serica, eritrograma, parametros hematologicos, perfil bioquimico serico, perfil de pfas, pfas sericos, valores de referencia, valores de referencia bioquimica",9_11
36,analise de ureia,11,3,"analise de albumina, analise de ureia, analise de urina",9_8
37,niveis de vitamina b9,11,11,"concentracao serica de vitamina c, dosagem de folato em hemacias, dosagem de folato serico, niveis de chumbo no sangue, niveis de etanol, niveis de pfas no sangue, niveis de substancias bioquimicas, niveis de vitamina b9, niveis de vitamina c, niveis sericos de etoxietanol...",11_6
38,biomonitoramento,10,7,"biomonitoramento, biomonitoramento de contaminantes, biomonitoramento de pah, biomonitoramento de pfas, biomonitoramento populacional, biomonitoramento urinario, pesquisa biomedica",5_8
39,concentracao de urina,10,7,"concentracao de urina, concentracao urinaria de iodo, exames de urina, niveis de urina, tempo de coleta de urina, tempo de coleta urinaria, urina gravidez teste",11_9
40,biomarcadores de saude,9,2,"analise de biomarcadores, biomarcadores de saude",6_9
