Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
questionario de comportamento,5,23,19,nhanes_questionnaire.acq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.vtq_j; nhanes_questionnaire.whq_j
analise de dados laboratoriais,4,22,19,nhanes_laboratory.ephpp_j; nhanes_laboratory.folate_j; nhanes_laboratory.fr_j; nhanes_laboratory.ghb_j; nhanes_laboratory.hdl_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.tfr_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uni_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vid_j; nhanes_laboratory.vocwb_j
dados demograficos,6,22,18,nhanes_admin.load_catalog; nhanes_demographics.demo_j; nhanes_examination.auxar_j; nhanes_laboratory.ucpreg_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.vtq_j; nhanes_questionnaire.whq_j
nivel de glicose,15,22,9,nhanes_laboratory.cot_j; nhanes_laboratory.ghb_j; nhanes_laboratory.glu_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.vitaec_j; nhanes_questionnaire.diq_j
hepatite b sorologia,16,19,6,nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_questionnaire.heq_j
tempo de atividade fisica,10,19,6,nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.paq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.slq_j
consumo de cigarros,14,19,8,nhanes_laboratory.cot_j; nhanes_laboratory.ucot_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.smq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j
pressao arterial,10,19,4,nhanes_examination.aux_j; nhanes_examination.bpx_j; nhanes_examination.bpxo_j; nhanes_questionnaire.bpq_j
exames laboratoriais,5,18,16,nhanes_examination.dxxag_j; nhanes_laboratory.biopro_j; nhanes_laboratory.crco_j; nhanes_laboratory.fertin_j; nhanes_laboratory.fetib_j; nhanes_laboratory.hdl_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.um_j; nhanes_laboratory.uvoc_j
metabolitos urinarios,15,17,12,nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pernt_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.ucflow_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j; nhanes_laboratory.utas_j
colesterol total serico,17,17,4,nhanes_laboratory.hdl_j; nhanes_laboratory.tchol_j; nhanes_laboratory.trigly_j; nhanes_laboratory.vitaec_j
exame auditivo,10,16,6,nhanes_examination.aux_j; nhanes_examination.auxar_j; nhanes_examination.auxtym_j; nhanes_examination.auxwbr_j; nhanes_examination.lux_j; nhanes_questionnaire.auq_j
dados de exames,6,16,16,nhanes_examination.aux_j; nhanes_examination.auxtym_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.fetib_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.vid_j
consumo de alimentos,5,15,13,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.inq_j
avaliacao de saude,3,15,15,nhanes_examination.lux_j; nhanes_laboratory.fastqx_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.slq_j; nhanes_questionnaire.vtq_j; nhanes_questionnaire.whqmec_j
vitamina c serica,10,15,7,nhanes_laboratory.fertin_j; nhanes_laboratory.fetib_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.tfr_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j; nhanes_laboratory.vitaec_j
avaliacao de sintomas depressivos,7,14,12,nhanes_laboratory.fastqx_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.ohq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.smqshs_j
composicao de nutrientes,5,14,8,nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2ids_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j
duracao do sono,10,14,5,nhanes_laboratory.fastqx_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.rxq_rx_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.slq_j
analise de glicemia,12,13,11,nhanes_laboratory.cbc_j; nhanes_laboratory.cot_j; nhanes_laboratory.fertin_j; nhanes_laboratory.glu_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.ins_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.sstst_j; nhanes_laboratory.trigly_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.vid_j
nivel de ferro,12,13,8,nhanes_laboratory.fetib_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.pernt_j; nhanes_laboratory.phthte_j; nhanes_laboratory.tfr_j; nhanes_laboratory.uio_j; nhanes_laboratory.uni_j; nhanes_laboratory.uvoc_j
mobilidade e cuidados,3,13,12,nhanes_questionnaire.auq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.whqmec_j
densidade ossea,9,13,4,nhanes_examination.dxx_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j; nhanes_examination.lux_j
frequencia de consumo,8,12,9,nhanes_dietary.ds2ids_j; nhanes_dietary.dsqids_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.smq_j; nhanes_questionnaire.whq_j
perfil bioquimico serico,8,12,9,nhanes_laboratory.alb_cr_j; nhanes_laboratory.biopro_j; nhanes_laboratory.cbc_j; nhanes_laboratory.cot_j; nhanes_laboratory.crco_j; nhanes_laboratory.fertin_j; nhanes_laboratory.ghb_j; nhanes_laboratory.pfas_j; nhanes_laboratory.sspfas_j
analise de ureia,3,11,9,nhanes_laboratory.alb_cr_j; nhanes_laboratory.pernt_j; nhanes_laboratory.uas_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j; nhanes_laboratory.uni_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.utas_j
niveis de vitamina b9,11,11,6,nhanes_laboratory.biopro_j; nhanes_laboratory.ethox_j; nhanes_laboratory.folate_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.pfas_j; nhanes_laboratory.vic_j
biomonitoramento,7,10,9,nhanes_laboratory.ephpp_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pfas_j; nhanes_laboratory.uas_j; nhanes_laboratory.um_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vocwb_j
concentracao de urina,7,10,9,nhanes_laboratory.pernt_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucflow_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j; nhanes_laboratory.uni_j
biomarcadores de saude,2,9,9,nhanes_laboratory.biopro_j; nhanes_laboratory.crco_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.fetib_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.um_j; nhanes_laboratory.vic_j
analise de marcadores laboratoriais,6,9,9,nhanes_laboratory.alb_cr_j; nhanes_laboratory.cot_j; nhanes_laboratory.fertin_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.vid_j
concentracao de analitos,7,9,8,nhanes_laboratory.ethox_j; nhanes_laboratory.fr_j; nhanes_laboratory.pah_j; nhanes_laboratory.phthte_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uhg_j; nhanes_laboratory.um_j
condicao dentaria,7,8,5,nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.rxq_rx_j
dados nutricionais,6,8,7,nhanes_dietary.ds1ids_j; nhanes_dietary.ds2ids_j; nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j; nhanes_laboratory.folate_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.inq_j
exame dentario,6,8,4,nhanes_examination.auxwbr_j; nhanes_examination.lux_j; nhanes_examination.ohxden_j; nhanes_examination.ohxref_j
valores de marcadores sanguineos,5,8,8,nhanes_laboratory.fr_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.pah_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.utas_j; nhanes_laboratory.vocwb_j
uso de medicamentos,2,8,5,nhanes_examination.lux_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.rxq_rx_j; nhanes_questionnaire.rxqasa_j
niveis de cotinina,6,7,5,nhanes_laboratory.cot_j; nhanes_laboratory.crco_j; nhanes_laboratory.pernt_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ucot_j
frequencia alimentar,6,7,6,nhanes_dietary.dsqids_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.fsq_j
historico gestacional,7,7,6,nhanes_admin.load_catalog; nhanes_demographics.demo_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j; nhanes_questionnaire.rhq_j
idade e genero,7,7,5,nhanes_demographics.demo_j; nhanes_laboratory.ucpreg_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.ocq_j
exposicao a compostos organicos volateis,5,7,7,nhanes_laboratory.ephpp_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uio_j; nhanes_laboratory.uni_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vocwb_j; nhanes_questionnaire.vtq_j
frequencia de uso de tabaco,4,7,5,nhanes_laboratory.fastqx_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j
imunoglobulina g,7,7,4,nhanes_laboratory.cmv_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssglyp_j
prevalencia de sintomas,5,7,7,nhanes_laboratory.fastqx_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.ohq_j
analise de vitamina c,5,6,5,nhanes_laboratory.opd_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.vic_j; nhanes_laboratory.vitaec_j; nhanes_laboratory.vocwb_j
niveis de biomarcadores,5,6,5,nhanes_laboratory.biopro_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.pfas_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.vitaec_j
utilizacao de servicos de saude,4,6,6,nhanes_admin.load_catalog; nhanes_questionnaire.acq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.osq_j
frequencia de sintomas,4,6,6,nhanes_questionnaire.hiq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j
dados de urina,3,6,3,nhanes_laboratory.opd_j; nhanes_laboratory.ucflow_j; nhanes_laboratory.ucpreg_j
teste de hiv,6,6,1,nhanes_laboratory.hiv_j
creatinina urinaria,3,5,4,nhanes_laboratory.alb_cr_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uni_j
dosagem de creatinina,5,5,3,nhanes_examination.aux_j; nhanes_laboratory.alb_cr_j; nhanes_laboratory.crco_j
prevalencia de anticorpos hbs,5,5,4,nhanes_laboratory.cmv_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepc_j
perda dentaria,5,5,4,nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_laboratory.hscrp_j; nhanes_questionnaire.ohq_j
pesquisa nhanes,3,5,5,nhanes_admin.load_catalog; nhanes_dietary.ds2ids_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uhg_j
condicoes de saude,3,5,4,nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.rxq_rx_j
indice de gordura,5,5,4,nhanes_dietary.dr1iff_j; nhanes_examination.dxxag_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
saude dentaria,3,5,4,nhanes_examination.dxxfem_j; nhanes_examination.ohxden_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.ohq_j
avaliacao indicadores nutricionais,4,4,4,nhanes_dietary.ds2tot_j; nhanes_laboratory.vid_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.kiq_u_j
classificacao de resultados sorologicos,4,4,1,nhanes_laboratory.cmv_j
cobertura de saude,4,4,2,nhanes_questionnaire.hiq_j; nhanes_questionnaire.osq_j
vacinacao,4,4,2,nhanes_questionnaire.heq_j; nhanes_questionnaire.imq_j
idade de inicio,4,4,2,nhanes_questionnaire.duq_j; nhanes_questionnaire.pfq_j
escore de depressao,4,4,3,nhanes_laboratory.fastqx_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.dpq_j
metadados de arquivos de dados,4,4,3,nhanes_admin.load_catalog; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssuvcm_j
frequencia de respostas,1,4,4,nhanes_questionnaire.auq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.pfq_j
metabolitos de solventes,4,4,4,nhanes_laboratory.pbcd_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.uvoc_j
questionario de dieta,4,4,4,nhanes_questionnaire.cbq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.fsq_j
aleitamento materno,3,3,3,nhanes_laboratory.fertin_j; nhanes_laboratory.ucpreg_j; nhanes_questionnaire.dbq_j
altura,3,3,3,nhanes_laboratory.cot_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.whq_j
avaliacao de condicoes dentarias,3,3,3,nhanes_laboratory.vic_j; nhanes_questionnaire.ohq_j; nhanes_questionnaire.vtq_j
avaliacao psicologica,2,3,3,nhanes_questionnaire.dpq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hoq_j
pontuacao de avaliacao,2,3,3,nhanes_questionnaire.alq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.pfq_j
pesquisa de diabetes,2,3,2,nhanes_laboratory.glu_j; nhanes_laboratory.ins_j
hemograma completo,3,3,2,nhanes_laboratory.biopro_j; nhanes_laboratory.cbc_j
exames medicos,2,3,3,nhanes_examination.auxar_j; nhanes_examination.dxxfem_j; nhanes_questionnaire.mcq_j
tratamento medico,3,3,2,nhanes_examination.lux_j; nhanes_questionnaire.kiq_u_j
medicamentos prescritos,3,3,3,nhanes_laboratory.hscrp_j; nhanes_laboratory.sstst_j; nhanes_questionnaire.rxqasa_j
limiares de deteccao,2,3,3,nhanes_examination.auxar_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j
niveis sericos de hidrocortisona,3,3,2,nhanes_laboratory.ssfr_j; nhanes_laboratory.ssneon_j
nivel de lbdhddsi,3,3,2,nhanes_laboratory.hdl_j; nhanes_laboratory.hscrp_j
padroes de respostas em pesquisa,3,3,3,nhanes_questionnaire.dlq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.rhq_j
pesquisa de substancias especificas,3,3,3,nhanes_laboratory.sstst_j; nhanes_laboratory.ucflow_j; nhanes_laboratory.utas_j
