Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
condicao dentaria,21,25,4,nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.ohq_j
hepatite b sorologia,21,24,6,nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_questionnaire.heq_j
pressao arterial,15,24,6,nhanes_examination.aux_j; nhanes_examination.auxar_j; nhanes_examination.auxtym_j; nhanes_examination.bpx_j; nhanes_examination.bpxo_j; nhanes_questionnaire.bpq_j
habitos de tabagismo,15,23,6,nhanes_questionnaire.duq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.smq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j
densidade ossea,17,22,5,nhanes_examination.auxwbr_j; nhanes_examination.dxx_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j; nhanes_questionnaire.osq_j
perfil demografico,6,22,17,nhanes_admin.load_catalog; nhanes_demographics.demo_j; nhanes_examination.auxar_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.vtq_j; nhanes_questionnaire.whq_j
exposicao a fenois,17,22,13,nhanes_laboratory.ephpp_j; nhanes_laboratory.ethox_j; nhanes_laboratory.fr_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pernt_j; nhanes_laboratory.pfas_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.uas_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.uvoc_j; nhanes_questionnaire.vtq_j
exame auditivo,15,21,6,nhanes_examination.aux_j; nhanes_examination.auxar_j; nhanes_examination.auxtym_j; nhanes_examination.auxwbr_j; nhanes_examination.lux_j; nhanes_questionnaire.auq_j
controle glicemico,13,20,7,nhanes_laboratory.ghb_j; nhanes_laboratory.glu_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.ucpreg_j; nhanes_questionnaire.diq_j
questionario sobre medicamentos,18,20,18,nhanes_questionnaire.alq_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.slq_j; nhanes_questionnaire.smq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j
analise de dados laboratoriais,6,19,17,nhanes_laboratory.folate_j; nhanes_laboratory.fr_j; nhanes_laboratory.ghb_j; nhanes_laboratory.hdl_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.tfr_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uni_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.vid_j; nhanes_laboratory.vitaec_j
exposicao a contaminantes,13,19,12,nhanes_laboratory.pah_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.pfas_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uhg_j; nhanes_laboratory.um_j; nhanes_laboratory.utas_j; nhanes_laboratory.vocwb_j; nhanes_questionnaire.vtq_j
analise de biomarcadores,10,18,15,nhanes_laboratory.biopro_j; nhanes_laboratory.crco_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.fetib_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.pfas_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.sstst_j; nhanes_laboratory.um_j; nhanes_laboratory.vic_j; nhanes_laboratory.vitaec_j
avaliacao de saude,6,18,17,nhanes_examination.lux_j; nhanes_laboratory.fastqx_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.slq_j; nhanes_questionnaire.vtq_j; nhanes_questionnaire.whqmec_j
pesquisa nhanes,11,17,13,nhanes_admin.load_catalog; nhanes_dietary.ds1ids_j; nhanes_dietary.ds2ids_j; nhanes_laboratory.ethox_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepc_j; nhanes_laboratory.ins_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_questionnaire.paqy_j
frequencia de atividade fisica,9,17,8,nhanes_examination.bpxo_j; nhanes_examination.dxxspn_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.paq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.slq_j
resultados de exames,7,17,16,nhanes_examination.auxtym_j; nhanes_examination.dxxspn_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.fetib_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vid_j; nhanes_laboratory.vocwb_j
respostas de pesquisa,8,16,13,nhanes_laboratory.ucpreg_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.smqshs_j
niveis de glicose,14,16,8,nhanes_laboratory.cot_j; nhanes_laboratory.ghb_j; nhanes_laboratory.glu_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.vitaec_j
medidas de peso corporal,5,16,12,nhanes_examination.auxtym_j; nhanes_examination.auxwbr_j; nhanes_examination.bmx_j; nhanes_examination.bpxo_j; nhanes_examination.dxxag_j; nhanes_examination.dxxspn_j; nhanes_laboratory.ins_j; nhanes_laboratory.sstst_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
frequencia de consumo,11,15,10,nhanes_dietary.ds2ids_j; nhanes_dietary.dsqids_j; nhanes_laboratory.fastqx_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.smq_j
frequencia de consumo alimentar,5,15,11,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.fsq_j
uso de medicamentos,7,15,7,nhanes_examination.lux_j; nhanes_laboratory.fastqx_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.rxq_rx_j; nhanes_questionnaire.rxqasa_j
avaliacao de composicao corporal,6,14,7,nhanes_examination.auxwbr_j; nhanes_examination.bmx_j; nhanes_examination.dxx_j; nhanes_examination.dxxag_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j; nhanes_examination.lux_j
condicoes medicas,13,14,7,nhanes_examination.lux_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.rxq_rx_j; nhanes_questionnaire.vtq_j
niveis de cotinina,12,13,4,nhanes_laboratory.cot_j; nhanes_laboratory.crco_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ucot_j
consumo de nutrientes,6,13,9,nhanes_dietary.dr1iff_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2ids_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.cbq_j
status de exame,11,13,10,nhanes_examination.aux_j; nhanes_examination.auxar_j; nhanes_examination.auxwbr_j; nhanes_examination.bpxo_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j; nhanes_examination.lux_j; nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_questionnaire.mcq_j
distribuicao de gordura,8,13,9,nhanes_examination.bpx_j; nhanes_examination.dxxag_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
niveis de transferrina,9,12,4,nhanes_laboratory.crco_j; nhanes_laboratory.fertin_j; nhanes_laboratory.fetib_j; nhanes_laboratory.tfr_j
analise do limite de deteccao,9,12,12,nhanes_examination.auxar_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uhg_j; nhanes_laboratory.vic_j
biomonitoramento de contaminantes,11,12,10,nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.pfas_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.uas_j; nhanes_laboratory.um_j; nhanes_laboratory.utas_j; nhanes_laboratory.vocwb_j
colesterol total,10,12,3,nhanes_laboratory.hdl_j; nhanes_laboratory.tchol_j; nhanes_laboratory.trigly_j
padroes alimentares,7,12,10,nhanes_questionnaire.alq_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.kiq_u_j
composicao nutricional de suplementos,9,12,9,nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2ids_j; nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j; nhanes_laboratory.folate_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.inq_j
concentracao de substancias,9,12,10,nhanes_laboratory.ethox_j; nhanes_laboratory.fr_j; nhanes_laboratory.ghb_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j; nhanes_laboratory.uni_j; nhanes_laboratory.vocwb_j
qualidade de vida,1,12,11,nhanes_questionnaire.auq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.whqmec_j
valores de urina,6,11,7,nhanes_laboratory.alb_cr_j; nhanes_laboratory.opd_j; nhanes_laboratory.ucflow_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.uni_j
historico de peso,10,11,7,nhanes_admin.load_catalog; nhanes_examination.lux_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.whq_j
analise de dieta,7,11,10,nhanes_dietary.dr1iff_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.kiq_u_j
nivel de ferro,6,11,3,nhanes_laboratory.fertin_j; nhanes_laboratory.fetib_j; nhanes_laboratory.tfr_j
composicao de alimentos,4,11,9,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqtot_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.inq_j
marcadores inflamatorios,8,11,8,nhanes_laboratory.fr_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.pah_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.utas_j; nhanes_laboratory.vocwb_j
analise de vitamina a,8,10,8,nhanes_dietary.ds1tot_j; nhanes_laboratory.alb_cr_j; nhanes_laboratory.cot_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.pernt_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j; nhanes_laboratory.vitaec_j
analise de substancias quimicas,8,10,10,nhanes_dietary.dr1tot_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds2tot_j; nhanes_laboratory.opd_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vitaec_j; nhanes_laboratory.vocwb_j
niveis de arsenico na urina,9,10,9,nhanes_laboratory.ephpp_j; nhanes_laboratory.pernt_j; nhanes_laboratory.phthte_j; nhanes_laboratory.uas_j; nhanes_laboratory.uhg_j; nhanes_laboratory.um_j; nhanes_laboratory.uni_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.utas_j
analise de hemograma,5,10,8,nhanes_laboratory.cbc_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.folate_j; nhanes_laboratory.fr_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vocwb_j
vitamina c serica,9,10,3,nhanes_laboratory.vic_j; nhanes_laboratory.vid_j; nhanes_laboratory.vitaec_j
suplementos dieteticos,2,10,6,nhanes_dietary.ds1ids_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2ids_j; nhanes_dietary.ds2tot_j; nhanes_dietary.dsqids_j; nhanes_dietary.dsqtot_j
biomarcadores urinarios,9,9,6,nhanes_laboratory.pernt_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j
niveis de creatinina urinaria,9,9,3,nhanes_laboratory.alb_cr_j; nhanes_laboratory.crco_j; nhanes_laboratory.opd_j
concentracoes de quimicos,8,9,6,nhanes_laboratory.ethox_j; nhanes_laboratory.fr_j; nhanes_laboratory.pah_j; nhanes_laboratory.pfas_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.uvoc_j
resultados de teste de hepatite b,9,9,5,nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepbd_j; nhanes_laboratory.hepc_j; nhanes_laboratory.hepe_j
marcadores laboratoriais,6,9,8,nhanes_laboratory.alb_cr_j; nhanes_laboratory.biopro_j; nhanes_laboratory.cot_j; nhanes_laboratory.fertin_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.sstst_j; nhanes_laboratory.vid_j
condicao de moradia,9,9,6,nhanes_demographics.demo_j; nhanes_laboratory.ucpreg_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.pfq_j
prevalencia de anticorpos,8,9,3,nhanes_laboratory.cmv_j; nhanes_laboratory.hiv_j; nhanes_questionnaire.imq_j
medidas laboratoriais de lipidios,8,8,7,nhanes_laboratory.biopro_j; nhanes_laboratory.hdl_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.sstst_j; nhanes_laboratory.tchol_j; nhanes_laboratory.trigly_j
tipo de plano de saude,6,8,5,nhanes_admin.load_catalog; nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.hiq_j
frequencia de sintomas respiratorios,5,8,8,nhanes_examination.auxwbr_j; nhanes_laboratory.hscrp_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.puqmec_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j; nhanes_questionnaire.vtq_j
idade de inicio,8,8,4,nhanes_demographics.demo_j; nhanes_laboratory.ucpreg_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.duq_j
