Ranking,Macrotema,Frequência Total,Qtd Subtemas,Exemplos Subtemas,Neurônio
23,biomonitoramento de contaminantes,15,11,"avaliacao de concentracoes quimicas, biomonitoramento, biomonitoramento de contaminantes, biomonitoramento de pah, biomonitoramento de pfas, biomonitoramento populacional, biomonitoramento urinario, compostos organicos volateis, concentracao de etoxiquina em amostras, deteccao de substancias...",5_0
24,pesquisa laboratorial,15,5,"exame laboratorial, pesquisa de laboratorio, pesquisa laboratorial, pesquisa laboratorial de saude, resultados laboratoriais",5_10
25,analise de glicose,14,12,"analise de alcool, analise de folato, analise de glicemia, analise de glicose, analise de hemoglobina, analise de insulina, analise de opioides, analise de substancias quimicas, analise de triglicerideos, analise de vitamina a...",2_10
26,avaliacao de composicao corporal,14,6,"analise de composicao corporal, avaliacao de composicao corporal, avaliacao de gordura corporal, composicao corporal, composicao corporal por dxa, medidas biometricas",7_13
27,frequencia de atividade fisica,14,6,"atividade fisica, frequencia cardiaca, frequencia de atividade fisica, frequencia de exercicio, intensidade de atividade fisica, pulso",0_6
28,avaliacao de sintomas depressivos,13,6,"avaliacao de depressao, avaliacao de sintomas, avaliacao de sintomas depressivos, avaliacao de sintomas psicologicos, avaliacao de sintomas respiratorios, avaliacao sintomas depressivos",8_7
29,tempo de atividade fisica,13,8,"duracao de caminhada, duracao do sono, horarios de sono, intensidade de atividade, nivel de atividade, tempo de atividade fisica, tempo de exercicio, tempo de trabalho",0_7
30,consumo de nutrientes,12,5,"acesso a alimentos, consumo de nutrientes, consumo diario de nutrientes, consumo nutricional diario, nutrientes consumidos",13_11
31,analise de urina,12,4,"analise de albumina, analise de creatinina, analise de ureia, analise de urina",1_10
32,resposta auditiva,12,7,"audiometria, limiar auditivo, medidas de acuidade visual, perda auditiva, resposta auditiva, respostas questionario auditivo, uso de aparelho auditivo",6_6
33,valores de marcadores sanguineos,12,9,"biomarcadores tabagismo, marcadores bioquimicos, marcadores de alergia, marcadores de exposicao ao tabaco, marcadores de funcao hepatica e renal, marcadores inflamatorios, valores de biomarcadores, valores de marcadores, valores de marcadores sanguineos",3_13
34,metabolitos urinarios,12,12,"biomarcadores urinarios, ftalatos urinarios, hidrocarbonetos policiclicos aromaticos urinarios, iodo urinario, mercury urinario, metabolitos urinarios, metais urinarios, organofosfatos urinarios, perfil urinario de nitrato, perfil urinario de perclorato...",0_13
35,colesterol total serico,12,12,"colesterol hdl, colesterol ldl, colesterol total, colesterol total (si), colesterol total serico, hdl colesterol, indice de colesterol serico, lipidios sanguineos, nivel de colesterol total, nivel de hdl...",8_0
36,nivel de glicose,12,8,"glicemia, glicemia abaixo do limite de deteccao, glicose serica, indice de glicose, niveis de glicose, niveis de glicose no sangue, niveis sericos de insulina, nivel de glicose",8_3
37,historico familiar de doencas,12,2,"historico familiar de doencas, qualidade de vida",2_3
38,saude autorreferida,11,7,"comportamento de saude, exame de saude, percepcao de saude fisica, pesquisa de saude, questoes de saude, saude autorreferida, saude autorrelatada",0_1
39,niveis sericos de cotinina,9,5,"dosagem de cotinina, niveis de cotinina, niveis sericos de cotinina, valores de referencia, valores de referencia bioquimica",2_13
40,nivel de ferro,8,8,"anemia ferropriva, capacidade de ligacao do ferro, dosagem de folato em hemacias, dosagem de folato serico, metabolismo do ferro, nivel de ferro, nivel de folato, percentual de saturacao de ferro",5_4
