Ranking,Macrotema,Frequência Total,Qtd Subtemas,Exemplos Subtemas,Neurônio
11,indice de precos,47,22,"agregacao de precos por site, alerta de preco, alertas de preco, calculo de faixas de preco, calculo de precos, estrategias de precificacao, indice de precificacao, indice de precos, indice de precos agregados, indice de precos bundle...",8_0
12,atributos de produtos,46,20,"atributo de produto configuravel, atributos de data de produtos, atributos de produto configuravel, atributos de produto e impostos, atributos de produto em wishlist, atributos de produto por loja, atributos de produtos, atributos decimais de links de produtos, atributos decimais de produto, atributos decimais de produtos...",7_14
13,preco por grupo de clientes,46,20,"configuracao de precos por grupo, configuracao de precos por grupo de clientes, estrategia de precos por grupo, estrutura de precos por grupo, estrutura de precos por grupo de clientes, precificacao de produtos por grupo de cliente, preco de grupo, preco de grupo de produtos, preco por grupo, preco por grupo cliente...",10_0
14,avaliacao de produtos,45,19,"agrupamento de produtos, amostras de produtos, analise de produtos, aprovacao de produtos, avaliacao de produtos, busca de produtos, comparacao de produtos, gerenciamento de produtos, indexacao de produtos, indice eav de produtos...",0_9
15,interacao do cliente,45,20,"atividade do cliente, comunicacao entre clientes, entidade cliente, entidade de cliente, estrutura de grupos de clientes, identificacao de cliente, identificacao de clientes, interacao de clientes, interacao do cliente, localizacao de cliente...",1_0
16,uso de regras promocionais,40,26,"condicoes de promocao, controle de aplicacoes de regras de vendas, controle de promocoes, descontos percentuais, descontos promocionais, desempenho de regras promocionais, escopo de regras de preco, escopo de regras de venda, mapeamento de regras promocionais, periodo de promocao...",12_0
17,configuracao de site,38,30,"configuracao de area, configuracao de arquivo xml, configuracao de arquivos de tema, configuracao de cadastro, configuracao de cms, configuracao de design, configuracao de diretorio, configuracao de email, configuracao de estados, configuracao de experimento...",0_14
18,configuracao de loja,38,17,"configuracao de avaliacao por loja, configuracao de conteudo por loja, configuracao de e-commerce, configuracao de escopo de loja, configuracao de estoque, configuracao de incremento por loja, configuracao de loja, configuracao de loja para preco, configuracao de lojas, configuracao de lojas magento...",4_14
19,tipo de entidade,37,23,"associacao de entidades, classificacao de entidades, codigo de entidade, comportamento de entidade, configuracao de entidades, entidade de avaliacao, entidade de endereco, entidade de entidade, entidade de importacao, entidade de rating...",6_11
20,preco por site,37,17,"preco de itens de pacote, preco de link por site, preco de selecao, preco de selecao de bundle, preco especial, preco fixo ou percentual, preco por quantidade, preco por regra, preco por site, preco por website...",9_1
21,categorias de produtos,36,26,"arvore de categorias, associacao categoria-produto, associacao de categorias, associacao de produtos a categorias, categorias de classificacao, categorias de loja, categorias de produto, categorias de produtos, categorias de relacao entre produtos, categorias por loja...",14_5
22,variacao por loja,32,21,"analise de precos por loja, avaliacoes por loja, contagem de reviews por loja, desempenho por loja, distribuicao de avaliacoes por loja, distribuicao de reviews por loja, indexacao por loja, mapeamento multi-loja de reviews, metricas de loja, metricas por loja...",0_5
23,envio de newsletter,31,22,"assinantes de email, assinatura de newsletter, assinaturas de newsletter, distribuicao de newsletter, envio de boletins, envio de links, envio de newsletter, erros de newsletter, fila de envio, fila de envio de e-mails...",14_11
24,regras de catalogo,31,21,"associacao de catalogo, catalogo de amostras, catalogo de downloads, categorias de catalogo, condicoes de catalogo, configuracao de catalogo, dados de indexacao de catalogo, estrutura de catalogo, galeria de midia de catalogo, indexacao de catalogo...",14_7
25,identificacao de loja,30,24,"cadastro de loja, catalogo de loja, etiqueta de loja, eventos de loja, grupo de loja, identificacao de loja, identificacao de lojas, identificadores de loja, labels de loja, localizacao de loja...",0_3
26,conteudo de tema,29,24,"alteracoes de tema, arquitetura de temas, arquivos de tema, conteudo de acordo, conteudo de contrato, conteudo de e-mail, conteudo de email, conteudo de landing pages, conteudo de mensagem, conteudo de reviews...",5_0
27,taxas de envio,29,21,"comentarios de envio, comentarios de remessa, condicoes de entrega, detalhes de remessa, endereco de entrega, grade de remessas, informacoes de entrega, itens de remessa, logistica de entregas, logistica de envio...",5_8
28,gerenciamento de arquivos,29,22,"gerenciamento de arquivos, gerenciamento de assinaturas, gerenciamento de cache, gerenciamento de conteudo, gerenciamento de downloads, gerenciamento de links de download, gerenciamento de metadados, gerenciamento de midia de produtos, gerenciamento de newsletter, gerenciamento de newsletters...",5_4
29,conversao de moedas,28,21,"cambio entre moedas, codigos de moeda, conversao de moeda, conversao de moedas, conversao monetaria, endereco de cotacao, enderecos de cotacao, itens de cotacao, log de cotacoes, moedas...",8_2
30,armazenamento de dados,25,20,"armazenamento chave-valor, armazenamento de arquivos, armazenamento de atributos datetime, armazenamento de cache, armazenamento de dados, armazenamento de dados de atributos numericos, armazenamento de dados eav, armazenamento de dados numericos, armazenamento de sessao, armazenamento de tokens de autenticacao...",14_14
31,identificacao de regioes,24,20,"codigos de regiao, codigos de regioes, codigos de subdivisao, formato de endereco por pais, identificacao de paises, identificacao de regioes, identificacao de regras, identificacao de variaveis, identificacao geografica, localizacao de strings...",12_5
32,status de indexacao,24,11,"estado de indexacao, indice de disponibilidade, popularidade de termos, status de atualizacao, status de disponibilidade, status de execucao, status de imagens, status de indexacao, status de leitura, status de revisao...",10_4
33,uso de cupons,23,14,"analise de cupons de desconto, analise de descontos, analise de periodos promocionais, configuracoes de cupons, cupons de desconto, descontos aplicados, descontos por item, gestao de cupons, gestao de descontos, promocoes por website...",11_1
34,associacao de loja,20,13,"agrupamento de lojas, associacao de loja, associacao de lojas, associar loja, entidade de loja, grupo de lojas, links por loja, loja associada, relacionamento de loja, vinculacao de loja a fila...",1_3
35,status de avaliacoes,19,17,"agregacao de avaliacoes, avaliacao de qualidade, avaliacao por estrelas, classificacao de avaliacoes, classificacao de reviews, contagem de reviews, contagem de revisoes, escalas de pontuacao, estrutura de avaliacoes, metricas de revisao...",9_4
36,valores de configuracao,19,15,"configuracao de acordos, configuracao de avaliacao, configuracao de avaliacoes, configuracao de endpoints, configuracao de escopo, configuracao de pacotes, configuracao de paises-alvo, configuracao de ratings, configuracao de termos de servico, configuracoes de pacotes...",1_14
37,itens de lista de desejos,19,9,"disponibilidade de itens, itens comprados, itens de lista de compras, itens de lista de desejos, lista de desejos, opcoes de produtos em pedidos, quantidade de itens, quantidade disponivel, quantidade em estoque",2_11
38,rastreamento de envio,18,13,"agregacao de envios, comunicacao entre remetente e destinatario, controle temporal de envios, envio para assinantes, informacoes de transporte, mensagens de presente, processamento de remessas, rastreamento de envio, rastreamento de envios, rastreamento de produtos...",5_7
39,atributos por loja,18,5,"atributos de cliente por site, atributos de data de clientes, atributos de entidade, atributos por loja, super atributos",9_14
40,ordenacao de itens,18,15,"hierarquia de transacoes, ordem de exibicao, ordem de exibicao de opcao, ordenacao de atualizacao, ordenacao de campos, ordenacao de elementos, ordenacao de fieldsets, ordenacao de grupos, ordenacao de itens, ordenacao de layout...",14_3
