Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
indice de precos,22,47,25,magento2.catalog_product_bundle_price_index; magento2.catalog_product_index_group_price; magento2.catalog_product_index_price; magento2.catalog_product_index_price_bundle_idx; magento2.catalog_product_index_price_bundle_opt_idx; magento2.catalog_product_index_price_bundle_opt_tmp; magento2.catalog_product_index_price_bundle_sel_tmp; magento2.catalog_product_index_price_bundle_tmp; magento2.catalog_product_index_price_cfg_opt_agr_idx; magento2.catalog_product_index_price_cfg_opt_agr_tmp; magento2.catalog_product_index_price_cfg_opt_idx; magento2.catalog_product_index_price_cfg_opt_tmp; magento2.catalog_product_index_price_downlod_idx; magento2.catalog_product_index_price_downlod_tmp; magento2.catalog_product_index_price_final_idx; magento2.catalog_product_index_price_final_tmp; magento2.catalog_product_index_price_idx; magento2.catalog_product_index_price_opt_agr_idx; magento2.catalog_product_index_price_opt_agr_tmp; magento2.catalog_product_index_price_opt_idx; magento2.catalog_product_index_price_opt_tmp; magento2.catalog_product_index_price_tmp; magento2.catalog_product_index_tier_price; magento2.product_alert_price; magento2.sales_quote_address_item
atributos de produtos,20,46,27,magento2.catalog_eav_attribute; magento2.catalog_product_entity; magento2.catalog_product_entity_datetime; magento2.catalog_product_entity_decimal; magento2.catalog_product_entity_gallery; magento2.catalog_product_entity_int; magento2.catalog_product_entity_media_gallery; magento2.catalog_product_entity_text; magento2.catalog_product_entity_varchar; magento2.catalog_product_index_eav; magento2.catalog_product_index_eav_decimal; magento2.catalog_product_index_eav_decimal_idx; magento2.catalog_product_index_eav_decimal_tmp; magento2.catalog_product_index_eav_idx; magento2.catalog_product_index_eav_tmp; magento2.catalog_product_link_attribute_decimal; magento2.catalog_product_super_attribute; magento2.catalog_product_super_attribute_label; magento2.catalog_product_super_attribute_pricing; magento2.catalogsearch_fulltext; magento2.eav_attribute_option; magento2.eav_attribute_option_value; magento2.googleshopping_attributes; magento2.googleshopping_types; magento2.sales_quote_item_option; magento2.weee_tax; magento2.wishlist_item_option
preco por grupo de clientes,20,46,28,magento2.catalog_product_bundle_price_index; magento2.catalog_product_entity_group_price; magento2.catalog_product_entity_tier_price; magento2.catalog_product_index_group_price; magento2.catalog_product_index_price; magento2.catalog_product_index_price_bundle_idx; magento2.catalog_product_index_price_bundle_opt_idx; magento2.catalog_product_index_price_bundle_opt_tmp; magento2.catalog_product_index_price_bundle_sel_tmp; magento2.catalog_product_index_price_bundle_tmp; magento2.catalog_product_index_price_cfg_opt_agr_idx; magento2.catalog_product_index_price_cfg_opt_agr_tmp; magento2.catalog_product_index_price_cfg_opt_idx; magento2.catalog_product_index_price_cfg_opt_tmp; magento2.catalog_product_index_price_downlod_idx; magento2.catalog_product_index_price_downlod_tmp; magento2.catalog_product_index_price_final_idx; magento2.catalog_product_index_price_final_tmp; magento2.catalog_product_index_price_idx; magento2.catalog_product_index_price_opt_agr_idx; magento2.catalog_product_index_price_opt_agr_tmp; magento2.catalog_product_index_price_opt_idx; magento2.catalog_product_index_price_opt_tmp; magento2.catalog_product_index_price_tmp; magento2.catalog_product_index_tier_price; magento2.catalogrule_customer_group; magento2.catalogrule_group_website; magento2.catalogrule_product_price
avaliacao de produtos,19,45,30,magento2.catalog_category_product_index; magento2.catalog_category_product_index_tmp; magento2.catalog_compare_item; magento2.catalog_product_index_eav; magento2.catalog_product_index_eav_decimal; magento2.catalog_product_index_eav_decimal_idx; magento2.catalog_product_index_eav_decimal_tmp; magento2.catalog_product_index_eav_tmp; magento2.catalog_product_index_website; magento2.catalog_product_relation; magento2.catalog_url_rewrite_product_category; magento2.catalogrule_affected_product; magento2.catalogsearch_fulltext; magento2.downloadable_sample; magento2.googleshopping_items; magento2.indexer_state; magento2.product_alert_price; magento2.product_alert_stock; magento2.rating; magento2.rating_entity; magento2.rating_option_vote; magento2.rating_option_vote_aggregated; magento2.rating_store; magento2.rating_title; magento2.report_compared_product_index; magento2.report_viewed_product_aggregated_monthly; magento2.report_viewed_product_aggregated_yearly; magento2.review; magento2.review_status; magento2.search_query
interacao do cliente,20,45,29,magento2.catalog_compare_item; magento2.catalog_product_index_price_tmp; magento2.customer_address_entity; magento2.customer_address_entity_datetime; magento2.customer_address_entity_int; magento2.customer_entity; magento2.customer_entity_datetime; magento2.customer_entity_decimal; magento2.customer_entity_int; magento2.customer_entity_text; magento2.customer_entity_varchar; magento2.downloadable_link_purchased; magento2.gift_message; magento2.log_customer; magento2.newsletter_subscriber; magento2.persistent_session; magento2.product_alert_price; magento2.product_alert_stock; magento2.rating_option_vote; magento2.report_compared_product_index; magento2.review_entity; magento2.sales_creditmemo_comment; magento2.sales_invoice_comment; magento2.sales_order_address; magento2.sales_order_status_history; magento2.sales_shipment_comment; magento2.salesrule_coupon_usage; magento2.salesrule_customer; magento2.salesrule_product_attribute
uso de regras promocionais,26,40,18,magento2.catalog_eav_attribute; magento2.catalogrule; magento2.catalogrule_customer_group; magento2.catalogrule_group_website; magento2.catalogrule_product; magento2.catalogrule_product_price; magento2.catalogrule_website; magento2.design_change; magento2.salesrule; magento2.salesrule_coupon; magento2.salesrule_coupon_aggregated; magento2.salesrule_coupon_aggregated_updated; magento2.salesrule_coupon_usage; magento2.salesrule_customer; magento2.salesrule_customer_group; magento2.salesrule_label; magento2.salesrule_product_attribute; magento2.salesrule_website
configuracao de site,30,38,29,magento2.catalog_eav_attribute; magento2.cms_block_store; magento2.cms_page; magento2.core_config_data; magento2.core_layout_update; magento2.core_resource; magento2.core_theme; magento2.core_theme_file; magento2.core_variable; magento2.core_variable_value; magento2.customer_eav_attribute; magento2.customer_eav_attribute_website; magento2.customer_form_attribute; magento2.design_change; magento2.directory_country_format; magento2.downloadable_link_price; magento2.eav_attribute; magento2.eav_form_type_entity; magento2.email_template; magento2.googleoptimizer_code; magento2.integration; magento2.newsletter_template; magento2.rating; magento2.sales_order_status_state; magento2.sitemap; magento2.store_website; magento2.widget; magento2.widget_instance; magento2.widget_instance_page
configuracao de loja,17,38,28,magento2.catalog_category_entity_int; magento2.catalog_product_bundle_selection_price; magento2.catalog_product_entity_decimal; magento2.catalog_product_entity_int; magento2.catalog_product_entity_media_gallery_value; magento2.catalog_product_option_price; magento2.catalog_product_option_title; magento2.catalog_product_option_type_price; magento2.cataloginventory_stock; magento2.cataloginventory_stock_item; magento2.checkout_agreement_store; magento2.cms_block_store; magento2.cms_page_store; magento2.core_layout_link; magento2.core_variable; magento2.core_variable_value; magento2.design_change; magento2.eav_entity_store; magento2.eav_form_type; magento2.googleoptimizer_code; magento2.rating_store; magento2.salesrule_product_attribute; magento2.sitemap; magento2.store; magento2.store_website; magento2.url_rewrite; magento2.weee_tax; magento2.widget_instance
tipo de entidade,23,37,20,magento2.catalog_category_entity_int; magento2.customer_address_entity; magento2.customer_address_entity_text; magento2.customer_address_entity_varchar; magento2.customer_entity_int; magento2.eav_attribute_set; magento2.eav_entity; magento2.eav_entity_attribute; magento2.eav_entity_datetime; magento2.eav_entity_decimal; magento2.eav_entity_int; magento2.eav_entity_store; magento2.eav_entity_text; magento2.eav_entity_type; magento2.eav_entity_varchar; magento2.eav_form_type_entity; magento2.importexport_importdata; magento2.rating_entity; magento2.review; magento2.review_entity
preco por site,17,37,26,magento2.catalog_product_bundle_price_index; magento2.catalog_product_bundle_selection; magento2.catalog_product_bundle_selection_price; magento2.catalog_product_entity_group_price; magento2.catalog_product_entity_tier_price; magento2.catalog_product_index_group_price; magento2.catalog_product_index_price; magento2.catalog_product_index_price_bundle_idx; magento2.catalog_product_index_price_bundle_opt_tmp; magento2.catalog_product_index_price_bundle_sel_tmp; magento2.catalog_product_index_price_bundle_tmp; magento2.catalog_product_index_price_cfg_opt_idx; magento2.catalog_product_index_price_cfg_opt_tmp; magento2.catalog_product_index_price_final_idx; magento2.catalog_product_index_price_final_tmp; magento2.catalog_product_index_price_opt_agr_idx; magento2.catalog_product_index_price_opt_agr_tmp; magento2.catalog_product_index_price_opt_idx; magento2.catalog_product_index_price_opt_tmp; magento2.catalog_product_index_price_tmp; magento2.catalog_product_index_tier_price; magento2.catalog_product_option_price; magento2.catalog_product_option_type_price; magento2.catalog_product_super_attribute_pricing; magento2.catalogrule_product_price; magento2.downloadable_link_price
categorias de produtos,26,36,15,magento2.catalog_category_entity; magento2.catalog_category_entity_datetime; magento2.catalog_category_entity_decimal; magento2.catalog_category_entity_text; magento2.catalog_category_entity_varchar; magento2.catalog_category_product; magento2.catalog_category_product_index; magento2.catalog_category_product_index_tmp; magento2.catalog_product_link_type; magento2.catalog_url_rewrite_product_category; magento2.googleshopping_types; magento2.rating; magento2.rating_entity; magento2.review_entity; magento2.store_group
variacao por loja,21,32,30,magento2.catalog_category_entity_text; magento2.catalog_category_product_index_tmp; magento2.catalog_product_bundle_option_value; magento2.catalog_product_bundle_price_index; magento2.catalog_product_index_eav_decimal_tmp; magento2.catalog_product_index_eav_idx; magento2.catalog_product_option_type_title; magento2.catalog_product_super_attribute_pricing; magento2.core_variable_value; magento2.eav_attribute_option_value; magento2.eav_entity_decimal; magento2.eav_form_fieldset_label; magento2.googleshopping_items; magento2.rating_option_vote_aggregated; magento2.rating_store; magento2.rating_title; magento2.report_viewed_product_aggregated_monthly; magento2.review_entity_summary; magento2.review_store; magento2.sales_bestsellers_aggregated_daily; magento2.sales_bestsellers_aggregated_yearly; magento2.sales_invoiced_aggregated; magento2.sales_invoiced_aggregated_order; magento2.sales_order_aggregated_created; magento2.sales_order_aggregated_updated; magento2.sales_order_status_label; magento2.sales_shipping_aggregated; magento2.sales_shipping_aggregated_order; magento2.tax_order_aggregated_created; magento2.tax_order_aggregated_updated
envio de newsletter,22,31,8,magento2.email_template; magento2.newsletter_problem; magento2.newsletter_queue; magento2.newsletter_queue_link; magento2.newsletter_queue_store_link; magento2.newsletter_subscriber; magento2.newsletter_template; magento2.sendfriend_log
regras de catalogo,21,31,22,magento2.catalog_category_entity; magento2.catalog_category_entity_int; magento2.catalog_category_entity_varchar; magento2.catalog_category_product; magento2.catalog_eav_attribute; magento2.catalog_product_entity_gallery; magento2.catalog_product_entity_media_gallery; magento2.catalog_product_index_website; magento2.catalog_product_link; magento2.catalog_product_link_type; magento2.catalog_product_option_title; magento2.catalog_product_website; magento2.catalogrule; magento2.catalogrule_affected_product; magento2.catalogrule_customer_group; magento2.catalogrule_group_website; magento2.catalogrule_website; magento2.core_flag; magento2.downloadable_link_title; magento2.downloadable_sample_title; magento2.eav_entity_type; magento2.indexer_state
identificacao de loja,24,30,23,magento2.catalog_product_bundle_option_value; magento2.catalog_product_entity_datetime; magento2.catalog_product_entity_varchar; magento2.catalog_product_index_eav_idx; magento2.catalog_product_super_attribute_label; magento2.core_variable_value; magento2.customer_entity; magento2.downloadable_link_title; magento2.downloadable_sample_title; magento2.eav_attribute_label; magento2.eav_attribute_option_value; magento2.googleoptimizer_code; magento2.googleshopping_items; magento2.log_customer; magento2.log_summary; magento2.rating_option_vote_aggregated; magento2.rating_title; magento2.report_compared_product_index; magento2.report_event; magento2.sales_order_status_label; magento2.salesrule_label; magento2.store; magento2.wishlist_item
conteudo de tema,24,29,13,magento2.checkout_agreement; magento2.cms_block; magento2.cms_page; magento2.core_layout_link; magento2.core_theme; magento2.core_theme_file; magento2.core_variable_value; magento2.email_template; magento2.gift_message; magento2.newsletter_template; magento2.review_detail; magento2.vde_theme_change; magento2.widget_instance
taxas de envio,21,29,8,magento2.sales_quote_address; magento2.sales_quote_shipping_rate; magento2.sales_shipment; magento2.sales_shipment_comment; magento2.sales_shipment_grid; magento2.sales_shipment_item; magento2.sales_shipment_track; magento2.shipping_tablerate
gerenciamento de arquivos,22,29,22,magento2.admin_user; magento2.catalog_product_entity_media_gallery_value; magento2.cms_block_store; magento2.cms_page; magento2.cms_page_store; magento2.core_cache_tag; magento2.core_resource; magento2.core_session; magento2.core_theme; magento2.core_theme_file; magento2.downloadable_link; magento2.downloadable_link_purchased; magento2.downloadable_link_purchased_item; magento2.eav_attribute_label; magento2.mview_state; magento2.newsletter_queue; magento2.newsletter_queue_link; magento2.newsletter_queue_store_link; magento2.oauth_token; magento2.persistent_session; magento2.url_rewrite; magento2.vde_theme_change
conversao de moedas,21,28,13,magento2.catalog_product_index_price_bundle_opt_tmp; magento2.catalog_product_index_website; magento2.directory_currency_rate; magento2.log_quote; magento2.sales_creditmemo_grid; magento2.sales_invoice_grid; magento2.sales_order_item; magento2.sales_order_tax_item; magento2.sales_quote_address; magento2.sales_quote_address_item; magento2.sales_quote_item; magento2.sales_quote_payment; magento2.sales_quote_shipping_rate
armazenamento de dados,20,25,16,magento2.catalog_category_entity_decimal; magento2.catalog_product_index_eav_decimal_idx; magento2.checkout_agreement_store; magento2.core_cache; magento2.core_config_data; magento2.core_variable_value; magento2.customer_entity_text; magento2.directory_country_format; magento2.eav_entity; magento2.eav_entity_datetime; magento2.eav_entity_text; magento2.eav_entity_varchar; magento2.importexport_importdata; magento2.mview_state; magento2.persistent_session; magento2.sitemap
identificacao de regioes,20,24,7,magento2.core_variable; magento2.directory_country; magento2.directory_country_format; magento2.directory_country_region; magento2.directory_country_region_name; magento2.salesrule_label; magento2.translation
status de indexacao,11,24,12,magento2.adminnotification_inbox; magento2.catalog_product_bundle_stock_index; magento2.catalog_product_entity_media_gallery_value; magento2.cataloginventory_stock_status; magento2.cataloginventory_stock_status_idx; magento2.cron_schedule; magento2.indexer_state; magento2.log_quote; magento2.mview_state; magento2.review; magento2.review_status; magento2.search_query
uso de cupons,14,23,10,magento2.catalogrule_website; magento2.sales_invoice_item; magento2.sales_quote_address_item; magento2.salesrule; magento2.salesrule_coupon; magento2.salesrule_coupon_aggregated; magento2.salesrule_coupon_aggregated_order; magento2.salesrule_coupon_aggregated_updated; magento2.salesrule_coupon_usage; magento2.salesrule_customer
associacao de loja,13,20,16,magento2.catalogrule_website; magento2.checkout_agreement_store; magento2.cms_block_store; magento2.design_change; magento2.downloadable_link_title; magento2.eav_entity; magento2.eav_entity_store; magento2.eav_entity_varchar; magento2.googleoptimizer_code; magento2.newsletter_queue_store_link; magento2.newsletter_subscriber; magento2.rating_store; magento2.report_event; magento2.review_store; magento2.store_group; magento2.tax_calculation_rate_title
status de avaliacoes,17,19,9,magento2.rating; magento2.rating_entity; magento2.rating_option; magento2.rating_option_vote; magento2.rating_option_vote_aggregated; magento2.rating_title; magento2.review_entity; magento2.review_entity_summary; magento2.review_status
valores de configuracao,15,19,14,magento2.catalog_product_bundle_option; magento2.catalog_product_index_price_bundle_sel_tmp; magento2.catalog_product_index_price_cfg_opt_idx; magento2.checkout_agreement; magento2.checkout_agreement_store; magento2.core_config_data; magento2.core_variable; magento2.core_variable_value; magento2.googleshopping_types; magento2.integration; magento2.rating; magento2.rating_option; magento2.rating_store; magento2.rating_title
itens de lista de desejos,9,19,10,magento2.catalog_compare_item; magento2.cataloginventory_stock_item; magento2.cataloginventory_stock_status; magento2.cataloginventory_stock_status_idx; magento2.cataloginventory_stock_status_tmp; magento2.downloadable_link_purchased_item; magento2.sales_quote_item_option; magento2.wishlist; magento2.wishlist_item; magento2.wishlist_item_option
