Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
analise de urina,7,9,9,nhanes_laboratory.biopro_j; nhanes_laboratory.fr_j; nhanes_laboratory.opd_j; nhanes_laboratory.pernt_j; nhanes_laboratory.phthte_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucflow_j; nhanes_laboratory.um_j; nhanes_laboratory.uni_j
analise de vitaminas e minerais,9,9,9,nhanes_dietary.ds1tot_j; nhanes_dietary.ds2tot_j; nhanes_laboratory.cbc_j; nhanes_laboratory.folate_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.vitaec_j; nhanes_laboratory.vocwb_j
niveis de transferrina,9,9,3,nhanes_laboratory.fertin_j; nhanes_laboratory.fetib_j; nhanes_laboratory.tfr_j
recomendacoes de saude bucal,9,9,6,nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.ohq_j
resultados de exames laboratoriais,6,9,9,nhanes_laboratory.crco_j; nhanes_laboratory.fr_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.tchol_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.vocwb_j
questionario de saude,7,9,9,nhanes_laboratory.fastqx_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.ohq_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.vtq_j
percepcao do estado de saude,8,8,5,nhanes_admin.load_catalog; nhanes_examination.ohxden_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.ohq_j
condicoes medicas,8,8,8,nhanes_demographics.demo_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.rxq_rx_j; nhanes_questionnaire.vtq_j
densidade mineral ossea,8,8,6,nhanes_examination.bmx_j; nhanes_examination.dxx_j; nhanes_examination.dxxag_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j; nhanes_questionnaire.osq_j
niveis de nitrato na urina,8,8,7,nhanes_laboratory.alb_cr_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.pernt_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uni_j; nhanes_laboratory.utas_j
frequencia de consumo alimentar,6,7,7,nhanes_dietary.dr1iff_j; nhanes_dietary.dsqids_j; nhanes_laboratory.fastqx_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.duq_j
questionario de atividade fisica,6,7,7,nhanes_questionnaire.bpq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.paq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
respostas de questionario,2,7,6,nhanes_questionnaire.acq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.puqmec_j
composicao corporal,4,6,5,nhanes_examination.auxwbr_j; nhanes_examination.bmx_j; nhanes_examination.dxx_j; nhanes_examination.dxxag_j; nhanes_examination.dxxfem_j
biomonitoramento de arsenico,6,6,6,nhanes_laboratory.fr_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j; nhanes_laboratory.utas_j; nhanes_laboratory.vocwb_j
duracao do emprego,6,6,5,nhanes_questionnaire.dlq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.rhq_j
colesterol total,6,6,6,nhanes_laboratory.cbc_j; nhanes_laboratory.hdl_j; nhanes_laboratory.hiv_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.tchol_j; nhanes_laboratory.trigly_j
controle glicemico,6,6,5,nhanes_laboratory.biopro_j; nhanes_laboratory.ghb_j; nhanes_laboratory.glu_j; nhanes_laboratory.vitaec_j; nhanes_questionnaire.bpq_j
duracao do sono,6,6,5,nhanes_laboratory.fastqx_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.paq_j; nhanes_questionnaire.rxq_rx_j; nhanes_questionnaire.slq_j
niveis de hemoglobina glicada,6,6,6,nhanes_laboratory.cbc_j; nhanes_laboratory.ghb_j; nhanes_laboratory.glu_j; nhanes_laboratory.ins_j; nhanes_laboratory.sstst_j; nhanes_laboratory.trigly_j
niveis de cobalto no sangue,6,6,6,nhanes_laboratory.crco_j; nhanes_laboratory.ethox_j; nhanes_laboratory.folate_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.vitaec_j
questionario de condicoes medicas,6,6,6,nhanes_questionnaire.auq_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.slq_j
metadados da pesquisa nhanes,5,5,4,nhanes_admin.load_catalog; nhanes_demographics.demo_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.paqy_j
analise de dieta,3,4,4,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j
analise de consumo,4,4,3,nhanes_questionnaire.alq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.fsq_j
historico de peso,4,4,4,nhanes_questionnaire.ecq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.whq_j
niveis de colesterol,4,4,4,nhanes_laboratory.hdl_j; nhanes_laboratory.tchol_j; nhanes_laboratory.vic_j; nhanes_laboratory.vid_j
niveis de cotinina serica,4,4,3,nhanes_laboratory.cot_j; nhanes_laboratory.crco_j; nhanes_laboratory.ssglyp_j
questionario de comportamento alimentar,2,4,4,nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.fsq_j
analise de varredura dxa,3,3,3,nhanes_examination.auxwbr_j; nhanes_examination.dxxfem_j; nhanes_examination.dxxspn_j
medicao de compostos organicos,3,3,3,nhanes_laboratory.pfas_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uvoc_j
idade de diagnostico,3,3,3,nhanes_examination.auxar_j; nhanes_examination.ohxref_j; nhanes_questionnaire.mcq_j
composicao de vitaminas e minerais,3,3,3,nhanes_dietary.dr2iff_j; nhanes_dietary.ds2ids_j; nhanes_laboratory.vid_j
testes de hiv,3,3,2,nhanes_laboratory.cmv_j; nhanes_laboratory.hiv_j
exposicao a ruido,3,3,3,nhanes_laboratory.ucm_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.smqfam_j
metabolitos de cisteina,3,3,3,nhanes_laboratory.folate_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j
analise de glicemia,2,2,2,nhanes_laboratory.glu_j; nhanes_laboratory.sstst_j
dados de varredura dxa,2,2,2,nhanes_examination.auxwbr_j; nhanes_examination.bpx_j
medicao de pfas no soro,2,2,2,nhanes_laboratory.pfas_j; nhanes_laboratory.sspfas_j
indice de massa corporal (imc),2,2,2,nhanes_examination.bmx_j; nhanes_questionnaire.pfq_j
dados de exame fisico,2,2,2,nhanes_examination.auxar_j; nhanes_examination.bpxo_j
medidas laboratoriais de lipidios,2,2,2,nhanes_laboratory.hdl_j; nhanes_laboratory.trigly_j
frequencia de atividades fisicas,2,2,2,nhanes_questionnaire.paq_j; nhanes_questionnaire.vtq_j
historico de hipertensao,2,2,2,nhanes_questionnaire.bpq_j; nhanes_questionnaire.kiq_u_j
percepcao de peso,2,2,2,nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
status do exame de atividade,2,2,2,nhanes_examination.lux_j; nhanes_laboratory.ssuvcm_j
analise da funcao hepatica,1,1,1,nhanes_laboratory.biopro_j
autoavaliacao da dieta,1,1,1,nhanes_questionnaire.dbq_j
dosagem de medicamentos,1,1,1,nhanes_questionnaire.rxqasa_j
frequencia de pulso,1,1,1,nhanes_examination.bpxo_j
historico de vacinacao,1,1,1,nhanes_questionnaire.imq_j
marcadores de inflamacao,1,1,1,nhanes_laboratory.hscrp_j
medicao de alfa-1-glicoproteina acida,1,1,1,nhanes_laboratory.ssagp_j
medicao de exposicao a luz,1,1,1,nhanes_examination.lux_j
medicoes de esteroides sericos,1,1,1,nhanes_laboratory.sstst_j
"niveis de analitos ihg, bge, bgm",1,1,1,nhanes_laboratory.ihgem_j
niveis de anticorpos igg e igm,1,1,1,nhanes_laboratory.cmv_j
perfil sociodemografico,1,1,1,nhanes_demographics.demo_j
questionario de uso de pesticidas,1,1,1,nhanes_questionnaire.puqmec_j
relacao albumina/creatinina,1,1,1,nhanes_laboratory.alb_cr_j
teste de gravidez em urina,1,1,1,nhanes_laboratory.ucpreg_j
zumbido nos ouvidos,1,1,1,nhanes_questionnaire.auq_j
