Ranking,Macrotema,Frequência Total,Qtd Subtemas,Exemplos Subtemas,Neurônio
11,analise de urina,9,7,"analise da funcao renal, analise de arsenico na urina, analise de biomarcadores urinarios, analise de metabolitos urinarios, analise de urina, analise de urofluxometria, analise laboratorial de urina",0_2
12,analise de vitaminas e minerais,9,9,"analise de biomarcadores sericos, analise de nutrientes especificos, analise de oligoelementos, analise de sangue, analise de vitaminas a e e, analise de vitaminas e minerais, analise hematologica, analise laboratorial de folato, analise laboratorial de hs-crp",4_2
13,niveis de transferrina,9,9,"analise de ferritina serica, capacidade de ligacao do ferro, medicao de transferrina (si), metabolismo do ferro, niveis de ferritina, niveis de transferrina, resultados laboratoriais de ferritina, resultados laboratoriais de transferrina, saturacao de transferrina",6_0
14,recomendacoes de saude bucal,9,9,"caries e restauracoes dentarias, cobertura de seguro saude, condicao dentaria por dente, frequencia de habitos bucais, motivos de encaminhamento odontologico, prevalencia de doencas, recomendacoes de saude bucal, saude mental, tipos de plano de saude",4_8
15,resultados de exames laboratoriais,9,6,"exames laboratoriais, exames laboratoriais de metais, medicoes laboratoriais de subamostra, resultados de exames laboratoriais, resultados de teste de gravidez, resultados laboratoriais por participante",2_2
16,questionario de saude,9,7,"questionario de imunizacao, questionario de saude, questionario de saude bucal, questionario de saude do paciente, questionario de saude reprodutiva, questionario de seguro saude, questionario sobre moradia",7_6
17,percepcao do estado de saude,8,8,"acesso a cuidados de saude, avaliacao da saude bucal, categorias de dados de saude, estado geral de saude, historico de saude, percepcao da saude bucal, percepcao do estado de saude, utilizacao de servicos de saude",5_8
18,condicoes medicas,8,8,"condicoes medicas, condicoes renais, limitacoes de atividade, qualidade de vida, renda e pobreza familiar, sintomas de depressao, sintomas e condicoes, tratamento de doencas cronicas",3_8
19,densidade mineral ossea,8,8,"conteudo mineral osseo lombar, densidade mineral ossea, densidade mineral ossea da coluna, distribuicao de gordura androide/ginoide, fatores de risco de osteoporose, medidas antropometricas, medidas da area ossea, medidas de gordura corporal",4_5
20,niveis de nitrato na urina,8,8,"niveis de albumina urinaria, niveis de arsenico na urina, niveis de bisfenol na urina, niveis de cotinina urinaria, niveis de creatinina urinaria, niveis de iodo urinario, niveis de mercurio na urina, niveis de nitrato na urina",1_0
21,frequencia de consumo alimentar,7,6,"frequencia de consumo alimentar, frequencia de consumo de bebidas, frequencia de uso de substancias, frequencia de uso de vitaminas, horario de consumo, padroes de consumo alimentar",9_8
22,questionario de atividade fisica,7,6,"questionario de atividade fisica, questionario de funcionamento fisico, questionario de historico de peso, questionario de osteoporose, questionario de peso e altura, questionario de pressao arterial",6_5
23,respostas de questionario,7,2,"questionario de comportamento do consumidor, respostas de questionario",7_7
24,composicao corporal,6,4,"analise de composicao corporal, composicao corporal, composicao mineral do femur, quantificacao de tecido adiposo",5_4
25,biomonitoramento de arsenico,6,6,"biomarcadores de exposicao quimica, biomonitoramento de arsenico, biomonitoramento de inseticidas, compostos organicos volateis, concentracoes de quimicos, especiacao de arsenico",0_6
26,duracao do emprego,6,6,"caracteristicas do domicilio, carga horaria de trabalho, duracao do emprego, idade de inicio do uso, idade em eventos reprodutivos, impacto de condicoes de pele",2_8
27,colesterol total,6,6,"colesterol ldl, colesterol total, hemograma completo, lipoproteina de alta densidade, prevalencia de hiv, proteina c-reativa de alta sensibilidade",9_1
28,controle glicemico,6,6,"controle glicemico, medicao de tocoferois, metabolismo da glicose, perfil bioquimico do sangue, tratamento de colesterol, triagem de diabetes",6_2
29,duracao do sono,6,6,"duracao de atividades fisicas, duracao do jejum, duracao do sono, padroes de sono, polifarmacia e duracao do tratamento, tempo de atividade diaria",2_7
30,niveis de hemoglobina glicada,6,6,"indices de globulos vermelhos e brancos, niveis de glicose no plasma, niveis de globulina ligadora de hormonios sexuais, niveis de hemoglobina glicada, niveis de insulina, niveis de triglicerideos",5_0
31,niveis de cobalto no sangue,6,6,"niveis de carotenoides, niveis de cobalto no sangue, niveis de concentracao de biomarcadores, niveis de etoxiacetato, niveis de folato, niveis de metais pesados no sangue",3_0
32,questionario de condicoes medicas,6,6,"questionario de audiometria, questionario de condicoes medicas, questionario de deficiencia, questionario de depressao, questionario de doenca cardiovascular, questionario de sono",7_5
33,metadados da pesquisa nhanes,5,5,"catalogo de dados de pesquisa, dados de aculturacao, metadados da pesquisa nhanes, metodologia da pesquisa, pesquisa de saude (nhanes)",6_8
34,analise de dieta,4,3,"analise de composicao de alimentos, analise de dieta, analise de macronutrientes",4_3
35,analise de consumo,4,4,"analise de consumo, dados de inquerito nutricional, inseguranca alimentar domiciliar, padroes de consumo de alcool",8_8
36,historico de peso,4,4,"historico de fraturas osseas, historico de gravidez, historico de peso, historico de peso corporal",5_6
37,niveis de colesterol,4,4,"niveis de colesterol, niveis de colesterol hdl, niveis de vitamina c, niveis de vitamina d",4_0
38,niveis de cotinina serica,4,4,"niveis de cotinina serica, niveis de creatinina no sangue, niveis de glifosato, niveis de hidroxicotinina serica",2_0
39,questionario de comportamento alimentar,4,2,"questionario de comportamento alimentar, questionario de seguranca alimentar",8_6
40,analise de varredura dxa,3,3,"analise da densitometria ossea, analise de varredura dxa, medidas de absorciometria",4_4
