Ranking,Macrotema,Frequência Total,Qtd Subtemas,Exemplos Subtemas,Neurônio
15,frequencia de atividade fisica,17,14,"atividade fisica, avaliacao de dificuldade fisica, dados de actigrafia, duracao de atividades fisicas, frequencia cardiaca, frequencia de atividade fisica, frequencia de atividades fisicas, frequencia de exercicio, funcionamento fisico, intensidade de atividade...",9_3
16,niveis de albumina urinaria,15,15,"analise de arsenico na urina, concentracao de fenois na urina, concentracao de iodo urinario, concentracao de metais na urina, concentracao urinaria de iodo, niveis de albumina urinaria, niveis de arsenico na urina, niveis de creatinina urinaria, niveis de iodo urinario, niveis de mercurio na urina...",0_6
17,exame laboratorial,15,11,"analise de hormonios sexuais, analise de sangue, analise de subamostra laboratorial, analise laboratorial de vic, exame laboratorial, exames laboratoriais, jejum laboratorial, medicoes laboratoriais de subamostra, pesquisa laboratorial, resultados de exames laboratoriais...",2_2
18,duracao do sono,15,13,"carga horaria de trabalho, duracao de prescricao, duracao do emprego, duracao do jejum, duracao do sono, frequencia de sintomas, frequencia de uso, horarios de sono, padroes de sono, qualidade do sono...",9_2
19,respostas de questionario,15,7,"identificador de respondente, questionario de comportamento do consumidor, questionario sobre moradia, respostas de entrevistados, respostas de pesquisa, respostas de questionario, respostas do questionario de renda",6_4
20,limite de deteccao,14,11,"analise de limite de deteccao, analise do limite de deteccao, limite de deteccao, limite de deteccao de analitos, limite de deteccao de glifosato, limite de deteccao de mercurio, limite de deteccao de produtos quimicos, limite de deteccao ucm, niveis de concentracao de biomarcadores, niveis de etoxiacetato...",2_6
21,pressao de pulso,14,12,"analise de pulso, frequencia de pulso, hipertensao, historico de hipertensao, leituras multiplas de pressao, medicao de pressao arterial, medicoes em serie temporal, medidas repetidas de pressao arterial, pressao arterial, pressao arterial sistolica e diastolica...",3_0
22,pesos amostrais,14,10,"antropometria, indice de massa corporal, indice de massa corporal (imc), massa gorda e magra, medidas antropometricas, peso amostral de pesquisa, peso corporal, pesos amostrais, pesos amostrais de 2 anos, pesos de subamostra de laboratorio",8_5
23,questionario sobre tabagismo,14,11,"questionario de atividade fisica, questionario de funcionamento fisico, questionario de sono, questionario dietetico, questionario sobre alcool, questionario sobre diabetes, questionario sobre eczema, questionario sobre fumo, questionario sobre medicamentos, questionario sobre tabagismo...",7_3
24,biomonitoramento de contaminantes,13,12,"analise de compostos organicos, analise de substancias quimicas (ssppma, ssmmac), analise laboratorial de pfas, biomonitoramento, biomonitoramento de arsenico, biomonitoramento de contaminantes, biomonitoramento de inseticidas, biomonitoramento de pah, biomonitoramento de pfas, biomonitoramento laboratorial...",2_7
25,analise de dieta,12,8,"analise de composicao de alimentos, analise de dieta, analise de macronutrientes, analise de nutrientes especificos, analise de vitaminas a e e, analise de vitaminas e minerais, autoavaliacao da dieta, pesquisa dietetica",9_8
26,saude autorrelatada,11,10,"categorias de dados de saude, dieta e saude, estado geral de saude, historico de saude, historico familiar de doencas, percepcao do estado de saude, saude autorreferida, saude autorrelatada, saude mental, trabalho e saude",6_1
27,biomonitoramento de metabolitos urinarios,10,8,"analise de metabolitos de pesticidas, biomonitoramento de metabolitos urinarios, biomonitoramento urinario, hidrocarbonetos policiclicos aromaticos urinarios, metabolitos da nicotina, metabolitos de arsenico, metabolitos de solventes, metabolitos organofosforados",2_8
28,condicao de moradia,10,10,"caracteristicas do domicilio, cdq, condicao de moradia, dados de aculturacao, dados demograficos, idade de inicio de limitacao, idade de inicio de uso, ocupacao, renda e pobreza familiar, tamanho da familia",6_6
29,cobertura de saude,10,9,"cobertura de saude, cobertura de seguro saude, mudanca de plano de saude, saude geral, saude ocupacional, saude reprodutiva, saude reprodutiva feminina, tipo de plano de saude, tipos de plano de saude",6_0
30,metabolitos urinarios,9,9,"analise de metabolitos urinarios, metabolitos da nicotina na urina, metabolitos de cisteina, metabolitos de ftalato na urina, metabolitos de nicotina, metabolitos quimicos urinarios, metabolitos urinarios, metabolitos urinarios de vocs, organofosfatos urinarios",1_8
31,medidas laboratoriais de lipidios,9,8,"analise hematologica, analise laboratorial de hs-crp, analise laboratorial por espectrometria, biomarcador laboratorial, exames laboratoriais de lipidios, medidas laboratoriais de lipidios, niveis de analitos ihg, bge, bgm, perfil bioquimico do sangue",1_2
32,niveis de colesterol,9,7,"glicose serica, hemoglobina glicada, insulina, niveis de colesterol, niveis de colesterol hdl, niveis de triglicerideos, tratamento de colesterol",1_0
33,analise de urina,8,6,"analise de urina, analise de urofluxometria, analise laboratorial de urina, medicao de parabenos na urina, medicao de ucm na urina, tempo de coleta de urina",0_7
34,saude bucal,8,7,"avaliacao da saude bucal, frequencia de habitos bucais, percepcao da saude bucal, recomendacoes de saude bucal, saude bucal, saude dentaria, saude ossea",5_1
35,sintomas depressivos,8,7,"deficiencia de vitamina c, depressao, inflamacao, polifarmacia e duracao do tratamento, sintomas de depressao, sintomas depressivos, sintomas respiratorios",8_0
36,exposicao ao iodo,8,6,"exposicao a iodo, exposicao a ruido, exposicao ambiental, exposicao ao iodo, exposicao ao iodo na populacao, fatores de exposicao ambiental",5_8
37,niveis de anticorpos igg e igm,8,8,"hiv anticorpos, hiv sorotipagem, imunoglobulinas igg e igm, niveis de anticorpos igg e igm, prevalencia de anticorpos, sorologia cmv, testes de hiv, testes para citomegalovirus (cmv)",3_3
38,status de pobreza familiar,7,7,"altura, ciclo 2017-2018, indice de pobreza, mercurio total, perfil de pfas, status de pobreza familiar, status socioeconomico",7_6
39,analise de biomarcadores sericos,7,7,"analise de biomarcadores sericos, eletrolitos e enzimas sericas, indices de globulos vermelhos e brancos, marcadores bioquimicos, marcadores de alergia, marcadores de inflamacao, medicoes de esteroides sericos",0_2
40,condicao de dentes,7,7,"carie dentaria, caries e restauracoes dentarias, condicao de dentes, condicao dentaria por dente, motivos de encaminhamento odontologico, perda dentaria, uso de protese dentaria",5_0
