Macrotema,Qtd Temas,Frequência Total,Qtd Tabelas Únicas,Tabelas
controle glicemico,15,20,8,nhanes_laboratory.ghb_j; nhanes_laboratory.glu_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_questionnaire.diq_j
pesquisa nhanes,14,20,16,nhanes_admin.load_catalog; nhanes_dietary.ds1ids_j; nhanes_dietary.ds2ids_j; nhanes_laboratory.cmv_j; nhanes_laboratory.ethox_j; nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hepc_j; nhanes_laboratory.ins_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.paqy_j
condicoes de saude,15,19,10,nhanes_questionnaire.acq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.rxq_rx_j; nhanes_questionnaire.vtq_j
biomarcadores urinarios,18,18,11,nhanes_laboratory.alb_cr_j; nhanes_laboratory.pernt_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ucflow_j; nhanes_laboratory.ucm_j; nhanes_laboratory.ucot_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j; nhanes_laboratory.utas_j
frequencia de atividade fisica,14,17,6,nhanes_examination.bpx_j; nhanes_examination.lux_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.paq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.pfq_j
niveis de albumina urinaria,15,15,10,nhanes_laboratory.alb_cr_j; nhanes_laboratory.pernt_j; nhanes_laboratory.uas_j; nhanes_laboratory.ucpreg_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.um_j; nhanes_laboratory.uni_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.utas_j
exame laboratorial,11,15,14,nhanes_laboratory.crco_j; nhanes_laboratory.fastqx_j; nhanes_laboratory.fr_j; nhanes_laboratory.glu_j; nhanes_laboratory.hdl_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ins_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.sstst_j; nhanes_laboratory.tchol_j; nhanes_laboratory.utas_j; nhanes_laboratory.vic_j; nhanes_laboratory.vocwb_j
duracao do sono,13,15,6,nhanes_dietary.dsqids_j; nhanes_laboratory.fastqx_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.slq_j; nhanes_questionnaire.vtq_j
respostas de questionario,7,15,12,nhanes_laboratory.ucpreg_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.heq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.puqmec_j
limite de deteccao,11,14,12,nhanes_laboratory.ethox_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pfas_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ucm_j; nhanes_laboratory.uhg_j; nhanes_laboratory.vic_j
pressao de pulso,12,14,4,nhanes_examination.auxar_j; nhanes_examination.bpx_j; nhanes_examination.bpxo_j; nhanes_questionnaire.bpq_j
pesos amostrais,10,14,10,nhanes_examination.bmx_j; nhanes_examination.dxxag_j; nhanes_laboratory.folate_j; nhanes_laboratory.ssfr_j; nhanes_laboratory.ssglyp_j; nhanes_laboratory.sspfas_j; nhanes_laboratory.ssuvcm_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
questionario sobre tabagismo,11,14,14,nhanes_questionnaire.alq_j; nhanes_questionnaire.cbq_j; nhanes_questionnaire.diq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.paq_j; nhanes_questionnaire.paqy_j; nhanes_questionnaire.pfq_j; nhanes_questionnaire.rxqasa_j; nhanes_questionnaire.slq_j; nhanes_questionnaire.smq_j; nhanes_questionnaire.smqfam_j; nhanes_questionnaire.smqrtu_j; nhanes_questionnaire.smqshs_j
biomonitoramento de contaminantes,12,13,12,nhanes_laboratory.opd_j; nhanes_laboratory.pah_j; nhanes_laboratory.pfas_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ssuvcm_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j; nhanes_laboratory.um_j; nhanes_laboratory.utas_j; nhanes_laboratory.uvoc_j; nhanes_laboratory.vocwb_j
analise de dieta,8,12,8,nhanes_dietary.dr1iff_j; nhanes_dietary.dr1tot_j; nhanes_dietary.dr2iff_j; nhanes_dietary.dr2tot_j; nhanes_dietary.ds1tot_j; nhanes_dietary.ds2tot_j; nhanes_laboratory.vitaec_j; nhanes_questionnaire.dbq_j
saude autorrelatada,10,11,9,nhanes_admin.load_catalog; nhanes_dietary.dr1tot_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hsq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.mcq_j; nhanes_questionnaire.osq_j
biomonitoramento de metabolitos urinarios,8,10,7,nhanes_laboratory.cot_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.pah_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.uas_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.uvoc_j
condicao de moradia,10,10,8,nhanes_demographics.demo_j; nhanes_questionnaire.acq_j; nhanes_questionnaire.cbqpfc_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.pfq_j
cobertura de saude,9,10,6,nhanes_laboratory.sstst_j; nhanes_questionnaire.hiq_j; nhanes_questionnaire.huq_j; nhanes_questionnaire.kiq_u_j; nhanes_questionnaire.osq_j; nhanes_questionnaire.rhq_j
metabolitos urinarios,9,9,6,nhanes_laboratory.opd_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.ucot_j; nhanes_laboratory.uphopm_j; nhanes_laboratory.uvoc_j
medidas laboratoriais de lipidios,8,9,9,nhanes_laboratory.biopro_j; nhanes_laboratory.cbc_j; nhanes_laboratory.fertin_j; nhanes_laboratory.hdl_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.trigly_j; nhanes_laboratory.vid_j
niveis de colesterol,7,9,8,nhanes_laboratory.ghb_j; nhanes_laboratory.glu_j; nhanes_laboratory.hdl_j; nhanes_laboratory.ihgem_j; nhanes_laboratory.tchol_j; nhanes_laboratory.trigly_j; nhanes_questionnaire.bpq_j; nhanes_questionnaire.diq_j
analise de urina,6,8,7,nhanes_laboratory.ephpp_j; nhanes_laboratory.fr_j; nhanes_laboratory.phthte_j; nhanes_laboratory.ucflow_j; nhanes_laboratory.ucm_j; nhanes_laboratory.um_j; nhanes_laboratory.uni_j
saude bucal,7,8,5,nhanes_examination.dxxfem_j; nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_questionnaire.cbqpfa_j; nhanes_questionnaire.ohq_j
sintomas depressivos,7,8,6,nhanes_laboratory.hscrp_j; nhanes_laboratory.vic_j; nhanes_questionnaire.cdq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.dpq_j; nhanes_questionnaire.rxq_rx_j
exposicao ao iodo,6,8,7,nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uhg_j; nhanes_laboratory.uio_j; nhanes_laboratory.uni_j; nhanes_laboratory.vocwb_j; nhanes_questionnaire.auq_j; nhanes_questionnaire.vtq_j
niveis de anticorpos igg e igm,8,8,2,nhanes_laboratory.cmv_j; nhanes_laboratory.hiv_j
status de pobreza familiar,7,7,6,nhanes_admin.load_catalog; nhanes_demographics.demo_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.sspfas_j; nhanes_questionnaire.inq_j; nhanes_questionnaire.whq_j
analise de biomarcadores sericos,7,7,6,nhanes_laboratory.biopro_j; nhanes_laboratory.cbc_j; nhanes_laboratory.hscrp_j; nhanes_laboratory.ssagp_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ssuvcm_j
condicao de dentes,7,7,3,nhanes_examination.ohxden_j; nhanes_examination.ohxref_j; nhanes_questionnaire.ohq_j
exame dentario,6,7,5,nhanes_examination.auxwbr_j; nhanes_examination.dxxspn_j; nhanes_examination.lux_j; nhanes_examination.ohxden_j; nhanes_examination.ohxref_j
concentracoes de quimicos,5,7,6,nhanes_laboratory.ephpp_j; nhanes_laboratory.fr_j; nhanes_laboratory.pfas_j; nhanes_laboratory.ssuvoc_j; nhanes_laboratory.uas_j; nhanes_laboratory.vocwb_j
consumo de alcool,7,7,4,nhanes_laboratory.fastqx_j; nhanes_questionnaire.alq_j; nhanes_questionnaire.duq_j; nhanes_questionnaire.rxq_rx_j
analise de ferritina serica,6,6,5,nhanes_laboratory.fertin_j; nhanes_laboratory.folate_j; nhanes_laboratory.pbcd_j; nhanes_laboratory.tfr_j; nhanes_laboratory.vitaec_j
identificacao de respondentes,6,6,6,nhanes_admin.load_catalog; nhanes_demographics.demo_j; nhanes_laboratory.ins_j; nhanes_questionnaire.ecq_j; nhanes_questionnaire.hoq_j; nhanes_questionnaire.puqmec_j
niveis de creatinina no sangue,6,6,4,nhanes_laboratory.cot_j; nhanes_laboratory.crco_j; nhanes_laboratory.pbcd_j; nhanes_questionnaire.kiq_u_j
dados de varredura dxa,5,5,5,nhanes_admin.load_catalog; nhanes_demographics.demo_j; nhanes_examination.auxwbr_j; nhanes_laboratory.fertin_j; nhanes_laboratory.utas_j
percepcao de peso corporal,4,5,3,nhanes_examination.bmx_j; nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
vacinacao,5,5,2,nhanes_laboratory.hiv_j; nhanes_questionnaire.imq_j
niveis de cotinina urinaria,5,5,5,nhanes_laboratory.cot_j; nhanes_laboratory.crco_j; nhanes_laboratory.ephpp_j; nhanes_laboratory.ssneon_j; nhanes_laboratory.ucot_j
hemograma completo,4,5,2,nhanes_laboratory.cbc_j; nhanes_laboratory.ssfr_j
historico de peso,4,5,3,nhanes_questionnaire.ecq_j; nhanes_questionnaire.rhq_j; nhanes_questionnaire.whq_j
questionario ocupacional,5,5,5,nhanes_questionnaire.auq_j; nhanes_questionnaire.deq_j; nhanes_questionnaire.dlq_j; nhanes_questionnaire.ocq_j; nhanes_questionnaire.puqmec_j
seguranca alimentar,3,4,4,nhanes_laboratory.uni_j; nhanes_questionnaire.dbq_j; nhanes_questionnaire.fsq_j; nhanes_questionnaire.inq_j
dados de exame fisico,3,4,3,nhanes_examination.auxar_j; nhanes_examination.bpxo_j; nhanes_questionnaire.mcq_j
prevalencia de anticorpos hbs,4,4,4,nhanes_laboratory.hepa_j; nhanes_laboratory.hepb_s_j; nhanes_laboratory.hiv_j; nhanes_questionnaire.imq_j
triagem gestacional,3,3,3,nhanes_examination.auxar_j; nhanes_laboratory.sstst_j; nhanes_laboratory.ucpreg_j
dieta recordatoria,3,3,3,nhanes_dietary.dr2iff_j; nhanes_laboratory.uio_j; nhanes_questionnaire.dbq_j
respostas de pesquisa de saude,2,3,3,nhanes_questionnaire.cdq_j; nhanes_questionnaire.imq_j; nhanes_questionnaire.smqshs_j
saude hepatica,2,2,2,nhanes_laboratory.biopro_j; nhanes_questionnaire.heq_j
marcadores de funcao hepatica e renal,2,2,1,nhanes_laboratory.biopro_j
inseguranca alimentar domiciliar,2,2,2,nhanes_questionnaire.cbq_j; nhanes_questionnaire.fsq_j
analise laboratorial de iodo,2,2,2,nhanes_laboratory.pbcd_j; nhanes_laboratory.uio_j
niveis sericos de etoxietanol,2,2,2,nhanes_laboratory.ethox_j; nhanes_questionnaire.rxqasa_j
exposicao a ucm,2,2,2,nhanes_examination.lux_j; nhanes_laboratory.ucm_j
status do exame de atividade,2,2,2,nhanes_examination.lux_j; nhanes_questionnaire.rhq_j
perfil sociodemografico,2,2,1,nhanes_demographics.demo_j
questionario de historico de peso,2,2,2,nhanes_questionnaire.whq_j; nhanes_questionnaire.whqmec_j
biomarcadores de exposicao quimica,1,1,1,nhanes_laboratory.ssuvoc_j
chumbo sanguineo,1,1,1,nhanes_laboratory.pbcd_j
diagnostico laboratorial de hiv,1,1,1,nhanes_laboratory.hiv_j
dificuldades funcionais,1,1,1,nhanes_questionnaire.pfq_j
exposicao a hepatite,1,1,1,nhanes_questionnaire.heq_j
idade de inicio do uso,1,1,1,nhanes_questionnaire.duq_j
idade em eventos reprodutivos,1,1,1,nhanes_questionnaire.rhq_j
medicao de alfa-1-glicoproteina acida,1,1,1,nhanes_laboratory.ssagp_j
medicao de pfas no soro,1,1,1,nhanes_laboratory.sspfas_j
questionario de saude bucal,1,1,1,nhanes_questionnaire.ohq_j
resultados de teste de gravidez,1,1,1,nhanes_laboratory.ucpreg_j
